Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Asim, Y., Raza, B., Malik, A.K., Rathore, S., Hussain, L., Iftikhar, M.A.","57188993946;24776735600;56208258100;55000220500;56038783200;56358446400;","A multi-modal, multi-atlas-based approach for Alzheimer detection via machine learning",2018,"International Journal of Imaging Systems and Technology","28","2",,"113","123",,2,"10.1002/ima.22263","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040196830&doi=10.1002%2fima.22263&partnerID=40&md5=3610a7298ec8907bb8454c72e41a226b",Article,"Final",,Scopus,2-s2.0-85040196830
"Vogel, J.W., Vachon-Presseau, E., Pichet Binette, A., Tam, A., Orban, P., La Joie, R., Savard, M., Picard, C., Poirier, J., Bellec, P., Breitner, J.C.S., Villeneuve, S.","56067603600;23669459500;56148379700;15758540100;13407972600;57193001608;57169968300;56215735200;7202642559;8342925400;7005755171;26421891100;","Brain properties predict proximity to symptom onset in sporadic Alzheimer's disease",2018,"Brain","141","6",,"1871","1883",,5,"10.1093/brain/awy093","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048040612&doi=10.1093%2fbrain%2fawy093&partnerID=40&md5=5b0c31cb8155051e54c1e941db602b79",Article,"Final",Open Access,Scopus,2-s2.0-85048040612
"Varikuti, D.P., Genon, S., Sotiras, A., Schwender, H., Hoffstaedter, F., Patil, K.R., Jockwitz, C., Caspers, S., Moebus, S., Amunts, K., Davatzikos, C., Eickhoff, S.B.","56183958200;55213597300;35146703900;6506833490;54787726500;56899254300;56543804700;57193223335;6506246334;6701836721;7005310126;9742676000;","Evaluation of non-negative matrix factorization of grey matter in age prediction",2018,"NeuroImage","173",,,"394","410",,2,"10.1016/j.neuroimage.2018.03.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043353068&doi=10.1016%2fj.neuroimage.2018.03.007&partnerID=40&md5=52455b4d9505e107a9a2c5adda61fd9e",Article,"Final",,Scopus,2-s2.0-85043353068
"Didimo, W., Giamminonni, L., Liotta, G., Montecchiani, F., Pagliuca, D.","6602576706;57201471107;16203147400;37119376400;57201472428;","A visual analytics system to support tax evasion discovery",2018,"Decision Support Systems","110",,,"71","83",,1,"10.1016/j.dss.2018.03.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045018243&doi=10.1016%2fj.dss.2018.03.008&partnerID=40&md5=65f0b328ff4c1b90b34f2eb3334a218d",Article,"Final",,Scopus,2-s2.0-85045018243
"Yang, P., Ni, D., Chen, S., Wang, T., Wu, D., Lei, B.","57201871498;26023577500;13606526600;55602702200;57202803086;26422280400;","Multi-task fused sparse learning for mild cognitive impairment identification",2018,"Technology and Health Care","26","S1",,"S437","S448",,,"10.3233/THC-174587","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049392382&doi=10.3233%2fTHC-174587&partnerID=40&md5=0d485917e958c40a9eeddac9416fdd7c",Conference Paper,"Final",,Scopus,2-s2.0-85049392382
"Wallert, J., Westman, E., Ulinder, J., Annerstedt, M., Terzis, B., Ekman, U.","56363091600;35070775000;6507330168;57202187933;57200608207;55313900100;","Differentiating patients at the memory clinic with simple reaction time variables: A predictive modeling approach using support vector machines and bayesian optimization",2018,"Frontiers in Aging Neuroscience","10","MAY", 144,"","",,1,"10.3389/fnagi.2018.00144","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047427228&doi=10.3389%2ffnagi.2018.00144&partnerID=40&md5=7380179863ed215dbbecc2de739445e6",Article,"Final",Open Access,Scopus,2-s2.0-85047427228
"Tröger, J., Linz, N., König, A., Robert, P., Alexandersson, J.","50862106700;57201257949;55556038000;34572192800;8389311100;","Telephone-based dementia screening i: Automated semantic verbal fluency assessment",2018,"ACM International Conference Proceeding Series",,,,"59","66",,,"10.1145/3240925.3240943","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055727059&doi=10.1145%2f3240925.3240943&partnerID=40&md5=63e7b4d49a150beec962975e0610379b",Conference Paper,"Final",,Scopus,2-s2.0-85055727059
"Amoroso, N., Diacono, D., Fanizzi, A., La Rocca, M., Monaco, A., Lombardi, A., Guaragnella, C., Bellotti, R., Tangaro, S.","55419832300;6603113523;25521194200;57194093154;7201639219;56450191700;6603235411;8419904800;8712490600;","Deep learning reveals Alzheimer's disease onset in MCI subjects: Results from an international challenge",2018,"Journal of Neuroscience Methods","302",,,"3","9",,7,"10.1016/j.jneumeth.2017.12.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044855024&doi=10.1016%2fj.jneumeth.2017.12.011&partnerID=40&md5=6b3edc0116db5d3961db123ba99be672",Article,"Final",,Scopus,2-s2.0-85044855024
"Donnelly-Kehoe, P.A., Pascariello, G.O., Gómez, J.C.","23049306700;57193527606;57190209312;","Looking for Alzheimer's Disease morphometric signatures using machine learning techniques",2018,"Journal of Neuroscience Methods","302",,,"24","34",,1,"10.1016/j.jneumeth.2017.11.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039423558&doi=10.1016%2fj.jneumeth.2017.11.013&partnerID=40&md5=8559528731757378f1caa4d2e2a3e27a",Article,"Final",,Scopus,2-s2.0-85039423558
"Yao, D., Calhoun, V.D., Fu, Z., Du, Y., Sui, J.","57201618841;7003595227;55842236300;16318623700;56579803600;","An ensemble learning system for a 4-way classification of Alzheimer's disease and mild cognitive impairment",2018,"Journal of Neuroscience Methods","302",,,"75","81",,1,"10.1016/j.jneumeth.2018.03.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045364384&doi=10.1016%2fj.jneumeth.2018.03.008&partnerID=40&md5=d65380e09f3eb33893da359b63602d9a",Article,"Final",,Scopus,2-s2.0-85045364384
"Sørensen, L., Nielsen, M.","24177673600;13605669800;","Ensemble support vector machine classification of dementia using structural MRI and mini-mental state examination",2018,"Journal of Neuroscience Methods","302",,,"66","74",,6,"10.1016/j.jneumeth.2018.01.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041578043&doi=10.1016%2fj.jneumeth.2018.01.003&partnerID=40&md5=f7a00a905c18af8491240b601d063b3f",Article,"Final",,Scopus,2-s2.0-85041578043
"Nanni, L., Lumini, A., Zaffonato, N.","8976580000;10040521600;57196410785;","Ensemble based on static classifier selection for automated diagnosis of Mild Cognitive Impairment",2018,"Journal of Neuroscience Methods","302",,,"42","46",,3,"10.1016/j.jneumeth.2017.11.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032973800&doi=10.1016%2fj.jneumeth.2017.11.002&partnerID=40&md5=d5adcd7998894331b45979f03615671a",Article,"Final",,Scopus,2-s2.0-85032973800
"Ramírez, J., Górriz, J.M., Ortiz, A., Martínez-Murcia, F.J., Segovia, F., Salas-Gonzalez, D., Castillo-Barnes, D., Illán, I.A., Puntonet, C.G.","57191694395;7004736801;18434650900;55062058300;26424738700;23101090600;57194785841;55251085600;7003619058;","Ensemble of random forests One vs. Rest classifiers for MCI and AD prediction using ANOVA cortical and subcortical feature selection and partial least squares",2018,"Journal of Neuroscience Methods","302",,,"47","57",,6,"10.1016/j.jneumeth.2017.12.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039074683&doi=10.1016%2fj.jneumeth.2017.12.005&partnerID=40&md5=2c5b57ac2e568b705376dab9fda9e430",Article,"Final",,Scopus,2-s2.0-85039074683
"Dimitriadis, S.I., Liparas, D., Tsolaki, M.N.","35101855100;42261950600;7004174854;","Random forest feature selection, fusion and ensemble strategy: Combining multiple morphological MRI measures to discriminate among healhy elderly, MCI, cMCI and alzheimer's disease patients: From the alzheimer's disease neuroimaging initiative (ADNI) database",2018,"Journal of Neuroscience Methods","302",,,"14","23",,8,"10.1016/j.jneumeth.2017.12.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042374881&doi=10.1016%2fj.jneumeth.2017.12.010&partnerID=40&md5=d6dd3832d8b606f4de2dc4314fa04d56",Article,"Final",,Scopus,2-s2.0-85042374881
"Castiglioni, I., Salvatore, C., Ramírez, J., Górriz, J.M.","6603570829;55517025900;57191694395;7004736801;","Machine-learning neuroimaging challenge for automated diagnosis of mild cognitive impairment: Lessons learnt",2018,"Journal of Neuroscience Methods","302",,,"10","13",,2,"10.1016/j.jneumeth.2017.12.019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040539809&doi=10.1016%2fj.jneumeth.2017.12.019&partnerID=40&md5=1596ab1590962c6f46ed870b9fd7c5e3",Letter,"Final",,Scopus,2-s2.0-85040539809
"Salvatore, C., Castiglioni, I.","55517025900;6603570829;","A wrapped multi-label classifier for the automatic diagnosis and prognosis of Alzheimer's disease",2018,"Journal of Neuroscience Methods","302",,,"58","65",,8,"10.1016/j.jneumeth.2017.12.016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040617226&doi=10.1016%2fj.jneumeth.2017.12.016&partnerID=40&md5=ff0f8c7758521e541414bbe967a02ba6",Article,"Final",,Scopus,2-s2.0-85040617226
"Cui, X., Xiang, J., Guo, H., Yin, G., Zhang, H., Lan, F., Chen, J.","52163321700;35786904300;55376285300;57202837069;57202836063;57202833962;55902701600;","Classification of alzheimer’s disease, mild cognitive impairment, and normal controls with subnetwork selection and graph kernel principal component analysis based on minimum spanning tree brain functional network",2018,"Frontiers in Computational Neuroscience","12",, 31,"","",,3,"10.3389/fncom.2018.00031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049504324&doi=10.3389%2ffncom.2018.00031&partnerID=40&md5=9ba6bfc10e1e4d2099be838e8e6417c5",Article,"Final",Open Access,Scopus,2-s2.0-85049504324
"Tunvirachaisakul, C., Supasitthumrong, T., Tangwongchai, S., Hemrunroj, S., Chuchuen, P., Tawankanjanachot, I., Likitchareon, Y., Phanthumchinda, K., Sriswasdi, S., Maes, M.","55538922900;57196190431;6506775711;57200181289;57200180532;12793144400;57200180834;57204088528;23768620600;57196895089;","Characteristics of Mild Cognitive Impairment Using the Thai Version of the Consortium to Establish a Registry for Alzheimer's Disease Tests: A Multivariate and Machine Learning Study",2018,"Dementia and Geriatric Cognitive Disorders","45","1-2",,"38","48",,1,"10.1159/000487232","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045060548&doi=10.1159%2f000487232&partnerID=40&md5=047a45cb8f5e4f56761124405ac86258",Article,"Final",,Scopus,2-s2.0-85045060548
"Lu, D., Popuri, K., Ding, G.W., Balachandar, R., Beg, M.F.","57194828229;35218351700;57201008172;56609416400;7102797387;","Multiscale deep neural network based analysis of FDG-PET images for the early diagnosis of Alzheimer's disease",2018,"Medical Image Analysis","46",,,"26","34",,5,"10.1016/j.media.2018.02.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042877208&doi=10.1016%2fj.media.2018.02.002&partnerID=40&md5=19304edcbe4eb23b2c4d5294307aafe7",Article,"Final",,Scopus,2-s2.0-85042877208
"Knopman, D.S., Lundt, E.S., Therneau, T.M., Vemuri, P., Lowe, V.J., Kantarci, K., Gunter, J.L., Senjem, M.L., Mielke, M.M., Machulda, M.M., Roberts, R.O., Boeve, B.F., Jones, D.T., Petersen, R.C., Jack, C.R.","7004497868;55929603100;7004566357;8970407400;14323307300;6506482731;36899097500;8570598800;7004869517;6603651905;7404281576;7005234927;36969042000;57193645972;18033457700;","Joint associations of β-amyloidosis and cortical thickness with cognition",2018,"Neurobiology of Aging","65",,,"121","131",,1,"10.1016/j.neurobiolaging.2018.01.017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042183759&doi=10.1016%2fj.neurobiolaging.2018.01.017&partnerID=40&md5=1087d39c161483c5bf29b87caf3268c7",Article,"Final",,Scopus,2-s2.0-85042183759
"Song, S., Cheong, L.-Z., Man, Q.-Q., Pang, S.-J., Li, Y.-Q., Ren, B., Zhang, J.","57195410493;17342274700;16837116100;56623877600;57195410166;57195413385;7601344914;","Characterization of potential plasma biomarkers related to cognitive impairment by untargeted profiling of phospholipids using the HILIC-ESI-IT-TOF-MS system",2018,"Analytical and Bioanalytical Chemistry","410","12",,"2937","2948",,1,"10.1007/s00216-018-0975-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043385704&doi=10.1007%2fs00216-018-0975-0&partnerID=40&md5=e6221f806e9b2f2a64e8f660d08f7e32",Article,"Final",,Scopus,2-s2.0-85043385704
"Tolonen, A., Rhodius-Meester, H.F.M., Bruun, M., Koikkalainen, J., Barkhof, F., Lemstra, A.W., Koene, T., Scheltens, P., Teunissen, C.E., Tong, T., Guerrero, R., Schuh, A., Ledig, C., Baroni, M., Rueckert, D., Soininen, H., Remes, A.M., Waldemar, G., Hasselbalch, S.G., Mecocci, P., van der Flier, W.M., Lötjönen, J.","56178352400;37034767600;55976125400;6603098087;7102989379;6603488459;7801652805;7007073571;6701704380;55625986800;52364015700;56596298100;55332432900;56704602300;7004895812;57192384661;6603846847;7006374342;7003306777;7006313835;8548678900;8324761200;","Data-driven differential diagnosis of dementia using multiclass disease state index classifier",2018,"Frontiers in Aging Neuroscience","10","APR", 111,"","",,4,"10.3389/fnagi.2018.00111","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046371386&doi=10.3389%2ffnagi.2018.00111&partnerID=40&md5=49e5473e32ce5ff4be72eee9c25c1079",Article,"Final",Open Access,Scopus,2-s2.0-85046371386
[No author name available],[No author id available],"2018 International Conference on Computing, Mathematics and Engineering Technologies: Invent, Innovate and Integrate for Socioeconomic Development, iCoMET 2018 - Proceedings",2018,"2018 International Conference on Computing, Mathematics and Engineering Technologies: Invent, Innovate and Integrate for Socioeconomic Development, iCoMET 2018 - Proceedings","2018-January",,,"","",880,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051478334&partnerID=40&md5=6a9b4f21c73350df1416a0d3d3acc598",Conference Review,"Final",,Scopus,2-s2.0-85051478334
"Lee, S.-H., Kang, W.-S., Moon, C.","57202504463;35332405500;7202189083;","Lifelog-based classification of mild cognitive impairment using artificial neural networks",2018,"International Conference on Electronics, Information and Communication, ICEIC 2018","2018-January",,,"1","2",,,"10.23919/ELINFOCOM.2018.8330611","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048555406&doi=10.23919%2fELINFOCOM.2018.8330611&partnerID=40&md5=077a15bd6000afff9cbeb743b5340e7b",Conference Paper,"Final",,Scopus,2-s2.0-85048555406
"Liu, X., Chen, K., Wu, T., Weidman, D., Lure, F., Li, J.","57197830458;7410238086;12239783200;57150798000;6603285466;37081011600;","Use of multimodality imaging and artificial intelligence for diagnosis and prognosis of early stages of Alzheimer's disease",2018,"Translational Research","194",,,"56","67",,2,"10.1016/j.trsl.2018.01.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042723479&doi=10.1016%2fj.trsl.2018.01.001&partnerID=40&md5=e868993234c3b97812e9e553056e76ee",Review,"Final",,Scopus,2-s2.0-85042723479
"Roberts, M., Vandeweerd, C., Lowenkron, J., Yalcin, A., Sappington, E.","57202243726;8672805900;57201614298;7006550086;57201615118;","Evaluating older adult's brain health: Preliminary results from a clinical trial using novel EEG technology",2018,"Gerontechnology","17",,,"75s","",,,"10.4017/gt.2018.17.s.074.00","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045403658&doi=10.4017%2fgt.2018.17.s.074.00&partnerID=40&md5=d22d47eb52a2962a486f0aa00e6f0bf6",Conference Paper,"Final",,Scopus,2-s2.0-85045403658
"Kanchanatawan, B., Thika, S., Sirivichayakul, S., Carvalho, A.F., Geffard, M., Maes, M.","15725304100;57193484165;6602154957;56225206500;7006670877;57196895089;","In Schizophrenia, Depression, Anxiety, and Physiosomatic Symptoms Are Strongly Related to Psychotic Symptoms and Excitation, Impairments in Episodic Memory, and Increased Production of Neurotoxic Tryptophan Catabolites: a Multivariate and Machine Learning Study",2018,"Neurotoxicity Research","33","3",,"641","655",,8,"10.1007/s12640-018-9868-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041124153&doi=10.1007%2fs12640-018-9868-4&partnerID=40&md5=69530557f912cdba76d7fd8f176ad9c2",Article,"Final",,Scopus,2-s2.0-85041124153
"Li, L., Nguyen, K.-H., Comans, T., Scuffham, P.","57196413418;55228510800;27367647200;7003591919;","Utility-Based Instruments for People with Dementia: A Systematic Review and Meta-Regression Analysis",2018,"Value in Health","21","4",,"471","481",,,"10.1016/j.jval.2017.09.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032996162&doi=10.1016%2fj.jval.2017.09.005&partnerID=40&md5=d536f6cf0b2d800cb3404b121dd9f4ba",Review,"Final",Open Access,Scopus,2-s2.0-85032996162
[No author name available],[No author id available],"Proceedings of 2017 International Conference on Intelligent Computing and Control, I2C2 2017",2018,"Proceedings of 2017 International Conference on Intelligent Computing and Control, I2C2 2017","2018-January",,,"","",799,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050181060&partnerID=40&md5=bdd2380ec7fdd5d6164775003c8ac7ae",Conference Review,"Final",,Scopus,2-s2.0-85050181060
[No author name available],[No author id available],"ACM International Conference Proceeding Series",2018,"ACM International Conference Proceeding Series","Part F138001",,,"183p","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051062359&partnerID=40&md5=0db7b86649bc114e55c46923ba734973",Conference Review,"Final",,Scopus,2-s2.0-85051062359
"Pan, C.-S., Wang, C.-W., Tsai, M.-H., Kuo, C.-B., Kuo, C.-H.","57202444960;35103998200;16032236600;57202442660;57202442664;","Classification of dementia based on over-sampling approach and decision tree",2018,"ACM International Conference Proceeding Series",,,,"1","4",,,"10.1145/3206157.3206158","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048376854&doi=10.1145%2f3206157.3206158&partnerID=40&md5=bd79969ebc9826d2ce372b1ba50caa6d",Conference Paper,"Final",,Scopus,2-s2.0-85048376854
"Lara-Garduno, R.A.","56582510000;","Machine learning behavioral recognition to support neuropsychological diagnosis of Cognitive decline",2018,"International Conference on Intelligent User Interfaces, Proceedings IUI",,,,"667","668",,,"10.1145/3172944.3173147","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045444004&doi=10.1145%2f3172944.3173147&partnerID=40&md5=ce9d29abfdb89a56d8aa1e628e75cfdb",Conference Paper,"Final",,Scopus,2-s2.0-85045444004
"Shibata, D., Miyabe, M., Wakamiya, S., Kinoshita, A., Ito, K., Aramaki, E.","57201498670;23397554800;35281103600;7102695277;57195546441;57203225161;","VocabChecker: Measuring language abilities for detecting early stage dementia",2018,"International Conference on Intelligent User Interfaces, Proceedings IUI",,, a24,"","",,,"10.1145/3180308.3180332","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045146468&doi=10.1145%2f3180308.3180332&partnerID=40&md5=6ce94cbb1e46943f33c93c592cfafae7",Conference Paper,"Final",,Scopus,2-s2.0-85045146468
"Xu, P., Yang, N., Li, S.","57194546613;57206512870;23987867100;","Diagnosis of Alzheimer's disease based on Support Tensor Machine and 3D brain white matter image [基于支持张量机算法和3D脑白质图像的阿尔兹海默症诊断]",2018,"Zhongshan Daxue Xuebao/Acta Scientiarum Natralium Universitatis Sunyatseni","57","2",,"52","60",,,"10.13471/j.cnki.acta.snus.2018.02.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058816198&doi=10.13471%2fj.cnki.acta.snus.2018.02.006&partnerID=40&md5=e9210427a9148b6c084f3986b3228bc7",Article,"Final",,Scopus,2-s2.0-85058816198
"Rosenberg, G.A.","56526320100;","Binswanger's disease: biomarkers in the inflammatory form of vascular cognitive impairment and dementia",2018,"Journal of Neurochemistry","144","5",,"634","643",,5,"10.1111/jnc.14218","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044525186&doi=10.1111%2fjnc.14218&partnerID=40&md5=99f69640982e05050fe24580e4b9016a",Review,"Final",Open Access,Scopus,2-s2.0-85044525186
[No author name available],[No author id available],"ICENCO 2017 - 13th International Computer Engineering Conference: Boundless Smart Societies",2018,"ICENCO 2017 - 13th International Computer Engineering Conference: Boundless Smart Societies","2018-January",,,"","",455,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047099414&partnerID=40&md5=42eedd9188e9b5a6ac42ded637bbc163",Conference Review,"Final",,Scopus,2-s2.0-85047099414
"Rasheed, W., Bhatti, M.S., Hisham Bin Hamid, N., Tang, T.B., Idris, Z.","24475459400;57193239369;56029902600;7401988807;8426378300;","Moderate traumatic brain injury identification for MEG data using PU (Positive and Unseen) learning",2018,"Asia Pacific Conference on Postgraduate Research in Microelectronics and Electronics","2017-October",,,"25","28",,,"10.1109/PRIMEASIA.2017.8280355","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046342691&doi=10.1109%2fPRIMEASIA.2017.8280355&partnerID=40&md5=037cff943cc5ef9f169de615b8f6e71b",Conference Paper,"Final",,Scopus,2-s2.0-85046342691
"Dai, Z., Callan, J., Xiong, C., Liu, Z.","57044002300;35588436200;56405071400;55714725800;","Convolutional neural networks for soft-matching N-grams in ad-hoc search",2018,"WSDM 2018 - Proceedings of the 11th ACM International Conference on Web Search and Data Mining","2018-Febuary",,,"126","134",,8,"10.1145/3159652.3159659","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046894490&doi=10.1145%2f3159652.3159659&partnerID=40&md5=22d42ded198210406aa3d563ffae915f",Conference Paper,"Final",,Scopus,2-s2.0-85046894490
"Amoroso, N., Rocca, M.L., Bellotti, R., Fanizzi, A., Monaco, A., Tangaro, S.","55419832300;57193629404;8419904800;25521194200;7201639219;8712490600;","Alzheimer's disease diagnosis based on the Hippocampal Unified Multi-Atlas Network (HUMAN) algorithm",2018,"BioMedical Engineering Online","17","1", 6,"","",,1,"10.1186/s12938-018-0439-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040861248&doi=10.1186%2fs12938-018-0439-y&partnerID=40&md5=1f5467bccf16684cb8401594168354f5",Article,"Final",Open Access,Scopus,2-s2.0-85040861248
"Huang, J., Li, Y.","57199287171;56075073900;","Sparse inverse covariance network-based modeling for mild cognitive impairment classification",2018,"IST 2017 - IEEE International Conference on Imaging Systems and Techniques, Proceedings","2018-January",,,"1","5",,,"10.1109/IST.2017.8261535","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049448177&doi=10.1109%2fIST.2017.8261535&partnerID=40&md5=18b506b107dd0de985952904c2ce8329",Conference Paper,"Final",,Scopus,2-s2.0-85049448177
"Geifman, N., Kennedy, R.E., Schneider, L.S., Buchan, I., Brinton, R.D.","36468312000;7402555730;7202548365;35594260500;7006458023;","Data-driven identification of endophenotypes of Alzheimer's disease progression: Implications for clinical trials and therapeutic interventions",2018,"Alzheimer's Research and Therapy","10","1",,"","",,,"10.1186/s13195-017-0332-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041604557&doi=10.1186%2fs13195-017-0332-0&partnerID=40&md5=d824fcbf031f50e3378170ae728b7998",Article,"Final",Open Access,Scopus,2-s2.0-85041604557
"Gochoo, M., Liu, S.-H., Bayanduuren, D., Tan, T.-H., Velusamy, V., Liu, T.-Y.","56038574900;17135033600;57151406600;7402022438;57191728622;34870073700;","Deep convolutional neural network classifier for travel patterns using binary sensors",2018,"Proceedings - 2017 IEEE 8th International Conference on Awareness Science and Technology, iCAST 2017","2018-January",,,"132","137",,1,"10.1109/ICAwST.2017.8256432","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050688144&doi=10.1109%2fICAwST.2017.8256432&partnerID=40&md5=f5e5b09d33ea300e76bf4dc94ffd2b17",Conference Paper,"Final",,Scopus,2-s2.0-85050688144
"Fang, C., Li, C., Cabrerizo, M., Barreto, A., Andrian, J., Loewenstein, D., Duara, R., Adjouadi, M.","57201735853;57194789855;6603673705;7007109179;6701402437;7004255253;7005297173;7004124475;","A novel Gaussian discriminant analysis-based computer aided diagnosis system for screening different stages of Alzheimer's disease",2018,"Proceedings - 2017 IEEE 17th International Conference on Bioinformatics and Bioengineering, BIBE 2017","2018-January",,,"279","284",,3,"10.1109/BIBE.2017.00-41","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045981166&doi=10.1109%2fBIBE.2017.00-41&partnerID=40&md5=fab10c797e0ac5c16e0d64f897407fe2",Conference Paper,"Final",,Scopus,2-s2.0-85045981166
"Won, E., Kim, Y.-K.","55418819900;36066254700;","Neuroimaging in psychiatry: Steps toward the clinical application of brain imaging in psychiatric disorders",2018,"Progress in Neuro-Psychopharmacology and Biological Psychiatry","80",,,"69","70",,,"10.1016/j.pnpbp.2017.08.019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029863128&doi=10.1016%2fj.pnpbp.2017.08.019&partnerID=40&md5=c8cf15868ce159424fd7f2e4d98fd577",Editorial,"Final",,Scopus,2-s2.0-85029863128
"König, A., Satt, A., Sorin, A., Hoory, R., Derreumaux, A., David, R., Robert, P.H.","55556038000;55510914300;7003371928;7801609106;24528288500;23090144700;34572192800;","Use of speech analyses within a mobile application for the assessment of cognitive impairment in elderly people",2018,"Current Alzheimer Research","15","2",,"120","129",,7,"10.2174/1567205014666170829111942","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042564673&doi=10.2174%2f1567205014666170829111942&partnerID=40&md5=fda63c90abc30bcd8bbee9e4c7e45783",Article,"Final",,Scopus,2-s2.0-85042564673
"Kruthika, K.R., Rajeswari, Pai, A., Maheshappa, H.D.","57195927992;56046377100;55749960800;6507859568;","Classification of Alzheimer and MCI phenotypes on MRI data using SVM",2018,"Advances in Intelligent Systems and Computing","678",,,"263","275",,1,"10.1007/978-3-319-67934-1_23","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030162236&doi=10.1007%2f978-3-319-67934-1_23&partnerID=40&md5=d24ca1d12c3b35b946b412893d3e5b45",Conference Paper,"Final",,Scopus,2-s2.0-85030162236
"Kato, S., Homma, A., Sakuma, T.","35549284300;7005329214;55625335800;","Easy screening for mild alzheimer’s disease and mild cognitive impairment from elderly speech",2018,"Current Alzheimer Research","15","2",,"104","110",,6,"10.2174/1567205014666171120144343","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042566199&doi=10.2174%2f1567205014666171120144343&partnerID=40&md5=707d19356d0d969f6926c94f8817d57c",Article,"Final",,Scopus,2-s2.0-85042566199
"Hernández-Domínguez, L., Ratté, S., Sierra-Martínez, G., Roche-Bergua, A.","57201403370;6603606285;7005095852;57201405955;","Computer-based evaluation of Alzheimer's disease and mild cognitive impairment patients during a picture description task",2018,"Alzheimer's and Dementia: Diagnosis, Assessment and Disease Monitoring","10",,,"260","268",,,"10.1016/j.dadm.2018.02.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044654157&doi=10.1016%2fj.dadm.2018.02.004&partnerID=40&md5=9506ea694c9ebcd38d075d1cde6ac8df",Article,"Final",Open Access,Scopus,2-s2.0-85044654157
"Chikhaoui, B., Lussier, M., Gagnon, M., Pigot, H., Giroux, S., Bier, N.","35302014300;36651204700;57189963585;55916374700;14041701600;10242573100;","Automatic identification of behavior patterns in mild cognitive impairments and Alzheimer’s disease based on activities of daily living",2018,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","10898 LNCS",,,"60","72",,1,"10.1007/978-3-319-94523-1_6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049955429&doi=10.1007%2f978-3-319-94523-1_6&partnerID=40&md5=fab6af0bd29c96b5b22865df6307670c",Conference Paper,"Final",,Scopus,2-s2.0-85049955429
