"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Harnessing the Power of Machine Learning in Dementia Informatics Research: Issues, Opportunities and Challenges","G. Tsang; X. Xie; S. Zhou","Computer Science, Swansea University, 7759 Swansea United Kingdom of Great Britain and Northern Ireland SA2 8PP (e-mail: 658679@swansea.ac.uk); Department of Computer Science, University of Swansea, Swansea United Kingdom of Great Britain and Northern Ireland SA2 8PP (e-mail: x.xie@swansea.ac.uk); College of Medicine, Swansea University, Swansea United Kingdom of Great Britain and Northern Ireland SA2 8PP (e-mail: S.Zhou@swansea.ac.uk)","IEEE Reviews in Biomedical Engineering","","2019","PP","99","1","1","Dementia is a chronic and degenerative condition affecting millions globally. The care of patients with dementia presents an ever continuing challenge to healthcare systems in the 21st century. Medical and health sciences have generated unprecedented volumes of data related to health and wellbeing for patients with dementia due to advances in information technology, such as genetics, neuroimaging, cognitive assessment, free texts, routine electronic health records etc. Making the best use of these diverse and strategic resources will lead to high quality care of patients with dementia. As such, machine learning becomes a crucial factor in achieving this objective. The aim of this paper is to provide a state-of-the-art review of machine learning methods applied to health informatics for dementia care. We collate and review the existing scientific methodologies and identify the relevant issues and challenges when faced with big health data. Machine learning has demonstrated promising applications to neuroimaging data analysis for dementia care, while relatively less efforts have been made to make use of integrated heterogeneous data via advanced machine learning approaches. We further indicate the future potentials and research directions of applying advanced machine learning, such as deep learning, to dementia informatics.","1937-3333;1941-1189","","10.1109/RBME.2019.2904488","Medical Research Council; Health Data Research UK; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8665908","Alzheimer;Cognitive Assessment;Deep Learning;Dementia;Electronic Medical Records;Health Informatics;Machine Learning;NeuroImaging;NLP","Dementia;Neuroimaging;Machine learning;Support vector machines;Informatics;Prognostics and health management","","","","","","","","","","IEEE","IEEE Early Access Articles"
"Feature abstraction for early detection of multi-type of dementia with sparse auto-encoder","E. M. Alkabawi; A. R. Hilal; O. A. Basir","Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, ON; Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, ON; Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, ON","2017 IEEE International Conference on Systems, Man, and Cybernetics (SMC)","","2017","","","3471","3476","With millions of people suffering from dementia worldwide, the global prevalence of dementia has a significant impact on the patients' lives, their caregivers' physical and emotional states, and the global economy. Early diagnosis of dementia helps in finding suitable therapies that reduce or even prevent further deterioration of patients' cognitive abilities. MRI scans are shown to be the most effective strategy to enable early diagnosis of dementia. Nevertheless, the early diagnosis of dementia is a challenging task due to the high dimensionality of MRI scans that may degrade the effectiveness of machine learning models. Feature abstraction is a part of dimensionality reduction process need by researchers to represent input data in its simplest form that results in a more-robust system model. It is a technique that collects relevant features and ignores irrelevant or redundant ones from data without loss of much key information. This paper proposes a novel feature abstraction method using sparse autoencoder (SAE) to reduce the dimensionality of and extract key features from MRI neuroimages. These features and that obtained from the popular PCA approach are then used to train a Linear Discriminant Analysis (LDA) and Logistic Regression classifiers in order to compare their prediction accuracy. The experimental results show that the proposed approach yields higher classification accuracy compared to that using the PCA by 8 percent of classification accuracy. The experimental results show that the use of features learned by SAE in early diagnosis of multi-type dementia provides better classification performance than the use of raw image pixel intensities for diagnosing dementia.","","978-1-5386-1645-1978-1-5386-1644-4978-1-5386-1646","10.1109/SMC.2017.8123168","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8123168","Dimensionality Reduction;Early diagnosis of Dementia;Feature abstraction;Machine learning;PCA;Sparse Autoencoder","Dementia;Feature extraction;Image segmentation;Principal component analysis;Training;Image edge detection","biomedical MRI;diseases;feature extraction;image classification;learning (artificial intelligence);medical image processing;patient diagnosis;principal component analysis;regression analysis","sparse auto-encoder;MRI scans;machine learning models;feature abstraction method;dementia diagnosis;dimensionality reduction;dementia multitype detection;feature extraction;MRI neuroimages;SAE;PCA approach;linear discriminant analysis;LDA;Logistic Regression classifiers;classification accuracy;raw image pixel intensities","","1","31","","","","","IEEE","IEEE Conferences"
"Tracking Indoor Activities of Patients with Mild Cognitive Impairment Using Motion Sensors","T. W. Nelson; L. Kam-Yiu; N. K. Joseph; H. Song; P. Ioannis","NA; NA; NA; NA; NA","2017 IEEE 31st International Conference on Advanced Information Networking and Applications (AINA)","","2017","","","431","438","In order to maintain a healthy living both physiologically and psychologically, it is important for patients with mild cognitive impairment (MCI) to maintain active in daily life. In this paper, we demonstrate how to use simple motion sensors, e.g., accelerometers, gyroscopes and magnetometers, to design and develop a system, called ActiveLife, for effective tracking of the daily living activities of MCI patients within their living rooms. In order to simplify the activity detection process, in ActiveLife, we adopt the context-based approach to model the common activities performed by the user within a day. Since the accelerometer and gyroscope are tri-axial sensors, the sensor data for different axes can be used to predict the current posture of the user while he is performing an activity. Combining with the heading direction of the posture obtained from the magnetometer and distance travelled during the transition of activities, we can estimate the current activity of the user. To further improve the estimation accuracy, we have designed an algorithm using the machine-learning technique, i.e., support vector machines (SVM), for activity classification.","1550-445X","978-1-5090-6029-0978-1-5090-6030","10.1109/AINA.2017.23","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7920941","Motion Sensors;Activity Tracking;Dementia;Context-based Approach;Support Vector Machines","Magnetic sensors;Tracking;Dementia;Accelerometers;TV;Gyroscopes","accelerometers;gyroscopes;handicapped aids;learning (artificial intelligence);magnetometers;mobile computing;patient monitoring;pattern classification;support vector machines","patient indoor activities tracking;mild cognitive impairment;motion sensors;accelerometers;gyroscopes;magnetometers;ActiveLife;daily living activities tracking;MCI patients;context-based approach;triaxial sensors;user posture prediction;machine-learning technique;support vector machines;SVM;activity classification","","4","27","","","","","IEEE","IEEE Conferences"
"CYBERH: Cyber-Physical Systems in Health for Personalized Assistance","D. Gil; A. Hernández-Sabaté; D. Castells-Rufas; J. Carrabina","NA; NA; NA; NA","2017 19th International Symposium on Symbolic and Numeric Algorithms for Scientific Computing (SYNASC)","","2017","","","373","376","Assistance systems for e-Health applications have some specific requirements that demand of new methods for data gathering, analysis and modeling able to deal with SmallData: 1) systems should dynamically collect data from, both, the environment and the user to issue personalized recommendations; 2) data analysis should be able to tackle a limited number of samples prone to include non-informative data and possibly evolving in time due to changes in patient condition; 3) algorithms should run in real time with possibly limited computational resources and fluctuant internet access. Electronic medical devices (and CyberPhysical devices in general) can enhance the process of data gathering and analysis in several ways: (i) acquiring simultaneously multiple sensors data instead of single magnitudes (ii) filtering data; (iii) providing real-time implementations condition by isolating tasks in individual processors of multiprocessors Systems-on-chip (MPSoC) platforms and (iv) combining information through sensor fusion techniques. Our approach focus on both aspects of the complementary role of CyberPhysical devices and analysis of SmallData in the process of personalized models building for e-Health applications. In particular, we will address the design of Cyber-Physical Systems in Health for Personalized Assistance (CyberHealth) in two specific application cases: 1) A Smart Assisted Driving System (SADs) for dynamical assessment of the driving capabilities of Mild Cognitive Impaired (MCI) people; 2) An Intelligent Operating Room (iOR) for improving the yield of bronchoscopic interventions for in-vivo lung cancer diagnosis.","","978-1-5386-2626-9978-1-5386-2627","10.1109/SYNASC.2017.00067","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8531313","Cyber physical Systems;eHealth;Personalized Assistance;SmallData Analysis;Reconfigurable Computing;Multimodal Sensors","Cancer;Real-time systems;Lung;Biomedical monitoring;Sensors;Computer architecture;Vehicles","cancer;cognition;cooperative systems;cyber-physical systems;data analysis;data mining;Internet;lung;medical computing;patient diagnosis;sensor fusion;system-on-chip","CyberPhysical devices;cyber-physical systems;personalized assistance;Smart Assisted Driving System;Assistance systems;data gathering;personalized recommendations;electronic medical devices;sensor fusion;e-Health;CyberHealth;mild cognitive impaired people;MCI people;intelligent operating room;iOR;Internet access;data analysis;lung cancer diagnosis;MPSoC;multiprocessors Systems-on-chip","","","32","","","","","IEEE","IEEE Conferences"
"Symbolic Model Extraction for Web Application Verification","I. Bocic; T. Bultan","NA; NA","2017 IEEE/ACM 39th International Conference on Software Engineering (ICSE)","","2017","","","724","734","Modern web applications use complex data models and access control rules which lead to data integrity and access control errors. One approach to find such errors is to use formal verification techniques. However, as a first step, most formal verification techniques require extraction of a formal model which is a difficult problem in itself due to dynamic features of modern languages, and it is typically done either manually, or using ad hoc techniques. In this paper, we present a technique called symbolic model extraction for extracting formal data models from web applications. The key ideas of symbolic model extraction are 1) to use the source language interpreter for model extraction, which enables us to handle dynamic features of the language, 2) to use code instrumentation so that execution of each instrumented piece of code returns the formal model that corresponds to that piece of code, 3) to instrument the code dynamically so that the models of methods that are created at runtime can also be extracted, and 4) to execute both sides of branches during instrumented execution so that all program behaviors can be covered in a single instrumented execution. We implemented the symbolic model extraction technique for the Rails framework and used it to extract data and access control models from web applications. Our experiments demonstrate that symbolic model extraction is scalable and extracts formal models that are precise enough to find bugs in real-world applications without reporting too many false positives.","1558-1225","978-1-5386-3868-2978-1-5386-3869","10.1109/ICSE.2017.72","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7985708","Formal Verification;Model Extraction;Web Applications","Instruments;Feature extraction;Data models;Data mining;Rails;Runtime;Load modeling","authorisation;data integrity;formal verification","symbolic model extraction technique;program behaviors;source language interpreter;formal verification techniques;access control rules;complex data models;Web application verification","","","31","","","","","IEEE","IEEE Conferences"
"An analysis of the stress of the elderly with dementia in day-care","M. Oomori; H. Kobayashi; T. Tanioka; M. Nishimura; A. Yuasa; Y. Yasuhara","School of Nursing, faculty of Medicine, Kagawa University, Japan, 1750-1 Ikenobe Miki kita-gun 761-0793; Department of Medical Welfare, Kawasaki University of Medical Welfare, Okayama, Japan; Institute of Health Biosciences, Department of Nursing, The University of Tokushima Graduate School, Japan; School of Nursing, faculty of Medicine, Kagawa University, Japan, 1750-1 Ikenobe Miki kita-gun 761-0793; School of Nursing, faculty of Medicine, Kagawa University, Japan, 1750-1 Ikenobe Miki kita-gun 761-0793; Institute of Health Biosciences, Department of Nursing, The University of Tokushima Graduate School, Japan","2011 7th International Conference on Natural Language Processing and Knowledge Engineering","","2011","","","439","442","The purpose of this study is to explain the stress levels of the elderly with dementia related to their daily behaviors observed using salivary amylase activity as a stress indicator. Study period was from September to October in 2005. Subjects were five people, and their cognitive abilities were assessed with Hasegawa's Dementia Scale-Revised (HDS-R). Their range of HDS-R scores were 0 to18. We obtained informed consent from subjects and their family. The experimental protocol used in this study was approved by the Ethics Committee at Kawasaki University. Salivary amylase activities were measured by the device of α-Amy Type 2.0 (Yamaha Co. LTD) and analyzed before and after occurrence daily activities. It was reported that salivary amylase activity correctly reacts to conditions of stress, via sympathetic-nervous-adrenomedullary system. We focused on their behavior or expressions and their reaction to others. Also it was analyzed the relations between their behavior and measured salivary amylase activities. In general, subjects' salivary amylase activities were increased, when they received rehabilitation, failed to communicate with the other elderly, their children and staff, estimated to participate the recreations and the busy bathing. On the other hand, their salivary amylase activities were decreased when they received music therapy, good communicated with other elderly, their children and staffs, and dozed off. In each case of the subjects, the changes of salivary amylase activity depended on how they can communicate with other people, whether or not they like to be alone, whether or not they are willing to participation to recreation activity. Their salivary amylase activities significantly were changed when they felt stress. Therefore, it was suggested that we must provide total care such as stress management for people with dementia.","","978-1-61284-729-0978-1-61284-728","10.1109/NLPKE.2011.6138222","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6138222","person with dementia;salivary amylase activity stress;experience","Dementia;Senior citizens;Stress;Immune system;Educational institutions","cognition;enzymes;geriatrics;health care;medical disorders;neurophysiology;patient care;patient rehabilitation","elderly stress analysis;dementia;day care;elderly stress level;daily behavior;salivary amylase activity;stress indicator;cognitive ability;Hasegawa Dementia Scale-Revised;Kawasaki University Ethics Committee;α-Amy Type 2.0 device;stress condition;sympathetic-nervous-adrenomedullary system;patient rehabilitation;patient communication;busy bathing;music therapy;recreation activity;stress management","","","17","","","","","IEEE","IEEE Conferences"
"Knowledge discovery from activity monitoring to support independent living of people with early dementia","H. Nikamalfard; H. Zheng; H. Wang; P. Jeffers; M. Mulvenna; P. McCullagh; S. Martin; J. Wallace; J. Augusto; W. Carswell; B. Taylor; K. McSorley","University of Ulster, Shore Road, Newtownabbey, Co. Antrim, UK, BT37 0QB; University of Ulster, Shore Road, Newtownabbey, Co. Antrim, UK, BT37 0QB; University of Ulster, Shore Road, Newtownabbey, Co. Antrim, UK, BT37 0QB; Fold Telecare, Fold Housing Association, Belfast, United Kingdom; University of Ulster, Shore Road, Newtownabbey, Co. Antrim, UK, BT37 0QB; University of Ulster, Shore Road, Newtownabbey, Co. Antrim, UK, BT37 0QB; University of Ulster, Shore Road, Newtownabbey, Co. Antrim, UK, BT37 0QB; University of Ulster, Shore Road, Newtownabbey, Co. Antrim, UK, BT37 0QB; University of Ulster, Shore Road, Newtownabbey, Co. Antrim, UK, BT37 0QB; University of Ulster, Shore Road, Newtownabbey, Co. Antrim, UK, BT37 0QB; Fold Telecare, Fold Housing Association, Belfast, United Kingdom; Fold Telecare, Fold Housing Association, Belfast, United Kingdom","Proceedings of 2012 IEEE-EMBS International Conference on Biomedical and Health Informatics","","2012","","","910","913","Altered activity patterns are often the general symptoms experienced by people with dementia. The quantity and quality of patient's daily activities such as their sleeping may be a reflection of their dementia condition and affect their quality of life. Monitoring patient's activity patterns over different periods of time may help healthcare professionals with determining the patient's cognitive impairment stage. In this research, we describe an activity pattern detection and visualization system developed to support the monitoring and assessment of activity patterns for people diagnosed with dementia, at the early stages of the disease. Analysis shows that rich information embedded in sensory data can provide useful knowledge for understanding patients' activity patterns, detect unusual events and may also be useful for examining cognitive status.","2168-2194;2168-2208","978-1-4577-2177-9978-1-4577-2176-2978-1-4577-2175","10.1109/BHI.2012.6211735","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6211735","","Dementia;Visualization","computerised monitoring;data mining;diseases;health care;patient monitoring","knowledge discovery;independent living;early dementia;altered activity pattern detection;patient daily activity;dementia condition;patient activity pattern monitoring;healthcare professional;patient cognitive impairment stage;visualization system;disease;sensory data;cognitive status","","2","7","","","","","IEEE","IEEE Conferences"
"Programming bots by synthesizing natural language expressions into API invocations","S. Zamanirad; B. Benatallah; M. C. Barukh; F. Casati; C. Rodriguez","School of Computer Science and Engineering, University of New South Wales (UNSW), Sydney, NSW 2052; School of Computer Science and Engineering, University of New South Wales (UNSW), Sydney, NSW 2052; School of Computer Science and Engineering, University of New South Wales (UNSW), Sydney, NSW 2052; University of Trento, Italy / Tomsk Polytechnic University, Russia; School of Computer Science and Engineering, University of New South Wales (UNSW), Sydney, NSW 2052","2017 32nd IEEE/ACM International Conference on Automated Software Engineering (ASE)","","2017","","","832","837","At present, bots are still in their preliminary stages of development. Many are relatively simple, or developed ad-hoc for a very specific use-case. For this reason, they are typically programmed manually, or utilize machine-learning classifiers to interpret a fixed set of user utterances. In reality, real world conversations with humans require support for dynamically capturing users expressions. Moreover, bots will derive immeasurable value by programming them to invoke APIs for their results. Today, within the Web and Mobile development community, complex applications are being stringed together with a few lines of code - all made possible by APIs. Yet, developers today are not as empowered to program bots in much the same way. To overcome this, we introduce BotBase, a bot programming platform that dynamically synthesizes natural language user expressions into API invocations. Our solution is two faceted: Firstly, we construct an API knowledge graph to encode and evolve APIs; secondly, leveraging the above we apply techniques in NLP, ML and Entity Recognition to perform the required synthesis from natural language user expressions into API calls.","","978-1-5386-2684-9978-1-5386-3976","10.1109/ASE.2017.8115694","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8115694","","Natural languages;Programming;Computational modeling;Concrete;Meteorology;Business;Machine learning","application program interfaces;learning (artificial intelligence);natural language processing;object-oriented programming","API;natural language user expression synthesis;BotBase;API knowledge graph;bot programming platform;users expressions;world conversations;user utterances;fixed set;machine-learning classifiers;specific use-case;API invocations;API calls","","1","27","","","","","IEEE","IEEE Conferences"
"Distilling Architectural Design Decisions and Their Relationships Using Frequent Item-Sets","S. Sobernig; U. Zdun","NA; NA","2016 13th Working IEEE/IFIP Conference on Software Architecture (WICSA)","","2016","","","61","70","Much attention is paid nowadays to software architecture of a system as a set of design decisions providing the rationale for the system design. To document and share proven architectural design decisions, decisions made in concrete development projects are mined and distilled into reusable architectural decision models (a.k.a. guidance models). The available distillation approaches, however, remain ad hoc and biased towards the personal experience of few expert architects. Relationships between distilled decisions are not systematically explored. We propose an approach for distilling reusable architectural design decisions with emphasis on their relationships. Architectural knowledge artifacts (e.g., architecture documentation, interviews) are systematically coded for the occurrence of architectural design decisions and their details. Co-occurrences of coded design decisions are then processed for different relationship types using an established data-mining technique: frequent item-sets. The distilled relationships enter the construction of a reusable architectural decision model and contribute to organizing the design space based on empirical data (i.e., frequency patterns of co-occurrences). We report on distilling design-decision relationships from decision data collected during a three-year project on language architectures of 80 UML-based domain-specific modeling languages.","","978-1-5090-2131-4978-1-5090-2563","10.1109/WICSA.2016.9","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7516812","architectural design decision;design-decision relationship;reusable architectural design-decision model;guidance model","Encoding;Computer architecture;Systematics;Software;Documentation;Decision making;Context","data mining;software architecture","guidance model;data-mining;architectural knowledge artifact;distilled decision;software architecture;frequent item-sets;reusable architectural decision model","","","39","","","","","IEEE","IEEE Conferences"
"Arabic Twitter Profiling For Arabic-Speaking Users","A. Alhozaimi; M. Almishari","Computer Sciences Department, King Saud University, Riyadh, Kingdom of Saudi Arabia; Computer Sciences Department, King Saud University, Riyadh, Kingdom of Saudi Arabia","2018 21st Saudi Computer Society National Computer Conference (NCC)","","2018","","","1","6","Twitter - well-established social network - becomes extremely popular worldwide and in the Kingdom of Saudi Arabia. The spread of smart phones and gadgets helps simplify the accessibility to Twitter and thus, increases the popularity overtime. In Twitter, users follow other users whom they are interested in their social contributions “tweets”. At many occasions, users resort to go over other user's tweets to decide if the user is interesting enough to follow. Clearly, doing this manually does not scale when there are many suggested users to be followed. Thus, it would be very useful if there is a tool that would automatically profile users and extract different characteristics of them. In this paper, we target one sort of Twitter Profiling problem by attempting to extract the interests/topics of the user behind the tweets. Building an automatic interest/topic categorization tool would be helpful for users and companies alike. For users, it makes the decision to follow a user way easier for them as it gives them an easy way to know the topics of the accounts which could be an important factor when following. For companies, it gives them further information about the Twitter users, which could lead to sending relevant targeted ads or marketing related items. We devise a machine-learning based topics-classification technique of Twitter users from merely their tweets. We target tweets that are in the Arabic language with Saudi dialect. Our technique achieves an accuracy of 90%.","","978-1-5386-4110-1978-1-5386-4111","10.1109/NCG.2018.8593031","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8593031","Twitter;User Interest Modeling;Arabic Language","Twitter;Support vector machines;Text categorization;Sports;Blogs;Biological system modeling","learning (artificial intelligence);natural language processing;pattern classification;social networking (online)","Twitter users;Arabic Twitter Profiling;Arabic-speaking users;social network;interest categorization tool;topic categorization tool;Kingdom of Saudi Arabia;smart phones;machine learning;topics classification","","","22","","","","","IEEE","IEEE Conferences"
"Proposal of statistical method of semantic indexing for multilingual documents","S. Mallat; M. Maraoui; E. Hkiri; M. Zrigui","LATICE Laboratory Research Department of Computer Science, Faculty of Sciences, University of Monastir, Tunisia; Computational Mathematics Laboratory, Faculty of Sciences, University of Monastir, Tunisia; LATICE Laboratory Research Department of Computer Science, Faculty of Sciences, University of Monastir, Tunisia; LATICE Laboratory Research Department of Computer Science, Faculty of Sciences, University of Monastir, Tunisia","2016 IEEE International Conference on Fuzzy Systems (FUZZ-IEEE)","","2016","","","2417","2424","In this paper, we present a statistical approach to semantic indexing for multilingual text documents based on conceptual network formalism. We propose to use this formalism as an indexing language to represent the descriptive concepts and their weighting. These concepts represent the content of the document. Our contribution is based on two steps; we propose, in the first step, the extraction of index terms using the multilingual lexical resource EuroWordNet (EWN). In the second step, we pass from the representation of index terms to the representation of index concepts through conceptual network formalism. This latter is generated using the EWN resource and the association rules model (in attempt to discover the non taxonomic relations or contextual relations between the concepts of a document). These lasts are latent relations, buried in the text, and carried by the semantic context of the co-occurrence of concepts in the document. The proposed approach can be applied to several languages because it builds a linguistic and statistical process. This approach is validated by a set of experiments and comparison with other methods of indexing based on a corpus of TREC evaluation campaign 2001 and 2002 of the ad hoc task. We prove that the proposed indexing approach provides encouraging results.","","978-1-5090-0626-7978-1-5090-0625-0978-1-5090-0627","10.1109/FUZZ-IEEE.2016.7737996","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7737996","concept extraction;statistical measures;multilingual documents;semantic indexing;conceptual network formalism;association rules;multilingual EuroWordNet","Semantics;Indexing;Information retrieval;Context;Computer science;Context modeling","data mining;indexing;natural language processing;statistical analysis;text analysis","semantic indexing;statistical method;multilingual text documents;conceptual network formalism;indexing language;descriptive concepts;index term extraction;multilingual lexical resource;EuroWordNet;index terms representation;EWN resource;association rule model;nontaxonomic relations;contextual relations;statistical process;TREC evaluation campaign","","2","22","","","","","IEEE","IEEE Conferences"
"Non-linear electromechanical RF model of a MEMS varactor based on VerilogA© and lumped-element parasitic network","J. Iannacci; R. Gaddi; A. Gnudi","ARCES Research Centre, University of Bologna, Viale Risorgimento 2, 40123, Bologna, Italy; ARCES Research Centre, University of Bologna, Viale Risorgimento 2, 40123, Bologna, Italy; ARCES Research Centre, University of Bologna, Viale Risorgimento 2, 40123, Bologna, Italy","2007 European Microwave Conference","","2007","","","1342","1345","In this paper we discuss an approach for the implementation of non-linear electromechanical and RF models of complete RF-MEMS devices within a standard circuit simulator, such as Cadence Spectre<sup>copy</sup>or Agilent ADStrade. The intrinsic electromechanical core is based on a structural hierarchical model library implemented in VerilogA<sup>copy</sup>language. Moreover, a surrounding lumped element network accounting for the electromagnetic RF behaviour of the MEMS device is extracted from S-parameters measured data. The whole nonlinear model network, composed of the intrinsic VerilogA<sup>copy</sup>core plus lumped-element parasitics, can be analysed within a radiofrequency circuit simulator schematic. The model is fully validated against electromechanical and RF static and dynamic measurements, showing good agreement between simulations and experimental results. The presented modeling approach can be the basis for the development of complete RF-MEMS design technology libraries, aiming at optimum hierarchical designs of MEMS-enabled RF circuit blocks.","","978-2-87487-001","10.1109/EUMC.2007.4405451","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4405451","","Radio frequency;Micromechanical devices;Varactors;Hardware design languages;Circuit simulation;Radiofrequency microelectromechanical systems;Libraries;Electromagnetic devices;Microelectromechanical devices;Data mining","hardware description languages;lumped parameter networks;micromechanical devices;radiofrequency integrated circuits;varactors","nonlinear electromechanical model;MEMS varactor;VerilogA;lumped-element parasitic network;RF-MEMS devices;Cadence Spectre;Agilent ADS;radiofrequency circuit simulator;radiofrequency circuit blocks;S-parameters","","1","4","","","","","IEEE","IEEE Conferences"
"Graph based MRI brain scan classification and correlation discovery","S. S. Long; L. B. Holder","Department of Electrical Engineering and Computer Science at Washington State University, Pullman, USA; Department of Electrical Engineering and Computer Science at Washington State University, Pullman, USA","2012 IEEE Symposium on Computational Intelligence in Bioinformatics and Computational Biology (CIBCB)","","2012","","","335","342","The shape of the human brain is correlated with many life events and psychological conditions. In this paper, we use a graph-based approach to represent the shape of the brain, including the shape of the ventricular system and shape relative to the skull. This graph representation is applied to classification of individuals based on level of cognitive impairment due to Alzheimer's Disease, level of education, and gender. The portions of the graph which are important to each distinction are found and visualized as an overlay on structural magnetic resonance images (MRI). We find that whole-brain analysis in this manner allows automatic classification of images based on gender if the whole brain is included, but not strictly based on the ventricular system. Alzheimer's Disease is found to strongly affect ventricle shape. Education is found to correlate with the shape of the medial longitudinal fissure and the Sylvian fissure, which may be due to increases in overall brain mass due to education. Gender is predicted primarily by information in the MRI regarding facial structure and head shape. Finally, age is found to be easier to classify than any of the above distinctions. The classifier is found to have 90.9% accuracy differentiating scans of individuals 40 and younger from those of individuals 60 or older.","","978-1-4673-1191-5978-1-4673-1190-8978-1-4673-1189","10.1109/CIBCB.2012.6217249","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6217249","MRI;SVM;Graph Mining;Subgraph Discovery","Accuracy;Alzheimer's disease;Shape;Education;Correlation;Support vector machines;Magnetic resonance imaging","biomedical MRI;brain;data mining;diseases;graph theory;knowledge representation;medical computing;neurophysiology;pattern classification","graph based MRI brain scan classification;MRI brain scan correlation discovery;human brain shape;graph based approach;ventricular system shape;skull;graph representation;cognitive impairment;Alzheimer disease;educational level;gender;magnetic resonance images;whole brain analysis;medial longitudinal fissure;Sylvian fissure;brain mass;facial structure;head shape","","1","25","","","","","IEEE","IEEE Conferences"
"QUASL: A framework for question answering and its Application to business intelligence","N. Kuchmann-Beauger; F. Brauer; M. Aufaure","SAP France Levallois-Perret, France; SAP Asia Pte Ltd Singapore; École Centrale Paris Chatenay-Malabry, France","IEEE 7th International Conference on Research Challenges in Information Science (RCIS)","","2013","","","1","12","Question Answering (Q&A) from structured data is a technique that may revolutionize enterprise search. A very promising use-case for such technology is Business Intelligence (BI). In order to make BI more accessible to end-users, some efforts have been made in the field of search for existing reports. However, the problem of converting an end-user's natural language input to a valid structured query in an ad-hoc fashion hasn't been sufficiently solved yet. In this paper we present a framework for Q&A systems that operate on structured data. The main innovation is that the framework allows defining a mapping between recognized semantics of a user's questions to a structured query model that can be executed on arbitrary data sources. It bases on popular standards like RDF and SparQL and is therefore very easy to adapt to other domains or use-cases. We will describe the application of this framework at hand of a BI question answering use-case, which also includes the personalization of generated queries, demonstrating the realworld applicability of our approach. In our experiments, we demonstrate that with our approach one can easily achieve a similar answering quality as one of the most popular Q&A systems on the Web.","2151-1349;2151-1357","978-1-4673-2914-9978-1-4673-2912","10.1109/RCIS.2013.6577686","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6577686","","Natural languages;Cities and towns;Pattern matching;Data warehouses;Semantics;Resource description framework;Bismuth","business data processing;competitive intelligence;natural language processing;query processing;question answering (information retrieval)","QUASL;business intelligence;structured data;enterprise search;end-user natural language;ad-hoc fashion;Q&A system;semantics mapping;structured query model;data sources;RDF;SparQL;BI question answering use-case;query personalization;answering quality;World Wide Web","","1","26","","","","","IEEE","IEEE Conferences"
