Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Unravelling the GSK3β-related genotypic interaction network influencing hippocampal volume in recurrent major depressive disorder.","/pubmed/30080747","Inkster B, Simmons A, Cole JH, Schoof E, Linding R, Nichols T, Muglia P, Holsboer F, Sämann PG, McGuffin P, Fu CHY, Miskowiak K, Matthews PM, Zai G, Nicodemus K.","Psychiatr Genet. 2018 Oct;28(5):77-84. doi: 10.1097/YPG.0000000000000203.","Psychiatr Genet.  2018","PubMed","citation","PMID:30080747","pubmed","30080747","create date:2018/08/07 | first author:Inkster B",
"Architecture of the Mouse Brain Synaptome.","/pubmed/30078578","Zhu F, Cizeron M, Qiu Z, Benavides-Piccione R, Kopanitsa MV, Skene NG, Koniaris B, DeFelipe J, Fransén E, Komiyama NH, Grant SGN.","Neuron. 2018 Aug 22;99(4):781-799.e10. doi: 10.1016/j.neuron.2018.07.007. Epub 2018 Aug 2.","Neuron.  2018","PubMed","citation","PMID:30078578 | PMCID:PMC6117470","pubmed","30078578","create date:2018/08/07 | first author:Zhu F",
"Using Multi-Scale Genetic, Neuroimaging and Clinical Data for Predicting Alzheimer's Disease and Reconstruction of Relevant Biological Mechanisms.","/pubmed/30042519","Khanna S, Domingo-Fernández D, Iyappan A, Emon MA, Hofmann-Apitius M, Fröhlich H.","Sci Rep. 2018 Jul 24;8(1):11173. doi: 10.1038/s41598-018-29433-3.","Sci Rep.  2018","PubMed","citation","PMID:30042519 | PMCID:PMC6057884","pubmed","30042519","create date:2018/07/26 | first author:Khanna S",
"Dialogue Systems and Conversational Agents for Patients with Dementia: The Human-Robot Interaction.","/pubmed/30033861","Russo A, D'Onofrio G, Gangemi A, Giuliani F, Mongiovi M, Ricciardi F, Greco F, Cavallo F, Dario P, Sancarlo D, Presutti V, Greco A.","Rejuvenation Res. 2019 Apr;22(2):109-120. doi: 10.1089/rej.2018.2075. Epub 2018 Sep 20.","Rejuvenation Res.  2019","PubMed","citation","PMID:30033861","pubmed","30033861","create date:2018/07/24 | first author:Russo A",
"A longitudinal magnetic resonance imaging study of neurodegenerative and small vessel disease, and clinical cognitive trajectories in non demented patients with transient ischemic attack: the PREVENT study.","/pubmed/30012102","Tariq S, d'Esterre CD, Sajobi TT, Smith EE, Longman RS, Frayne R, Coutts SB, Forkert ND, Barber PA.","BMC Geriatr. 2018 Jul 16;18(1):163. doi: 10.1186/s12877-018-0858-4.","BMC Geriatr.  2018","PubMed","citation","PMID:30012102 | PMCID:PMC6048817","pubmed","30012102","create date:2018/07/18 | first author:Tariq S",
"A similarity-based approach to leverage multi-cohort medical data on the diagnosis and prognosis of Alzheimer's disease.","/pubmed/30010762","Zhang H, Zhu F, Dodge HH, Higgins GA, Omenn GS, Guan Y; Alzheimer's Disease Neuroimaging Initiative..","Gigascience. 2018 Jul 1;7(7). doi: 10.1093/gigascience/giy085.","Gigascience.  2018","PubMed","citation","PMID:30010762 | PMCID:PMC6054197","pubmed","30010762","create date:2018/07/17 | first author:Zhang H",
"Early Diagnosis of Alzheimer's Disease Based on Resting-State Brain Networks and Deep Learning.","/pubmed/29989989","Ju R, Hu C, Zhou P, Li Q.","IEEE/ACM Trans Comput Biol Bioinform. 2019 Jan-Feb;16(1):244-257. doi: 10.1109/TCBB.2017.2776910. Epub 2017 Nov 23.","IEEE/ACM Trans Comput Biol Bioinform.  2019","PubMed","citation","PMID:29989989","pubmed","29989989","create date:2018/07/11 | first author:Ju R",
"Unsupervised Machine Learning to Identify High Likelihood of Dementia in Population-Based Surveys: Development and Validation Study.","/pubmed/29986849","Cleret de Langavant L, Bayen E, Yaffe K.","J Med Internet Res. 2018 Jul 9;20(7):e10493. doi: 10.2196/10493.","J Med Internet Res.  2018","PubMed","citation","PMID:29986849 | PMCID:PMC6056741","pubmed","29986849","create date:2018/07/11 | first author:Cleret de Langavant L",
"How random is the random forest? Random forest algorithm on the service of structural imaging biomarkers for Alzheimer's disease: from Alzheimer's disease neuroimaging initiative (ADNI) database.","/pubmed/29926817","Dimitriadis SI, Liparas D; Alzheimer's Disease Neuroimaging Initiative..","Neural Regen Res. 2018 Jun;13(6):962-970. doi: 10.4103/1673-5374.233433. Review.","Neural Regen Res.  2018","PubMed","citation","PMID:29926817 | PMCID:PMC6022472","pubmed","29926817","create date:2018/06/22 | first author:Dimitriadis SI",
"Joint Pairing and Structured Mapping of Convolutional Brain Morphological Multiplexes for Early Dementia Diagnosis.","/pubmed/29926746","Lisowska A, Rekik I.","Brain Connect. 2019 Feb;9(1):22-36. doi: 10.1089/brain.2018.0578. Epub 2018 Oct 15.","Brain Connect.  2019","PubMed","citation","PMID:29926746","pubmed","29926746","create date:2018/06/22 | first author:Lisowska A",
"Data-Driven Differential Diagnosis of Dementia Using Multiclass Disease State Index Classifier.","/pubmed/29922145","Tolonen A, Rhodius-Meester HFM, Bruun M, Koikkalainen J, Barkhof F, Lemstra AW, Koene T, Scheltens P, Teunissen CE, Tong T, Guerrero R, Schuh A, Ledig C, Baroni M, Rueckert D, Soininen H, Remes AM, Waldemar G, Hasselbalch SG, Mecocci P, van der Flier WM, Lötjönen J.","Front Aging Neurosci. 2018 Apr 25;10:111. doi: 10.3389/fnagi.2018.00111. eCollection 2018.","Front Aging Neurosci.  2018","PubMed","citation","PMID:29922145 | PMCID:PMC5996907","pubmed","29922145","create date:2018/06/21 | first author:Tolonen A",
"Fully Automatic Speech-Based Analysis of the Semantic Verbal Fluency Task.","/pubmed/29886493","König A, Linz N, Tröger J, Wolters M, Alexandersson J, Robert P.","Dement Geriatr Cogn Disord. 2018;45(3-4):198-209. doi: 10.1159/000487852. Epub 2018 Jun 8.","Dement Geriatr Cogn Disord.  2018","PubMed","citation","PMID:29886493","pubmed","29886493","create date:2018/06/11 | first author:König A",
"Differentiating Patients at the Memory Clinic With Simple Reaction Time Variables: A Predictive Modeling Approach Using Support Vector Machines and Bayesian Optimization.","/pubmed/29881341","Wallert J, Westman E, Ulinder J, Annerstedt M, Terzis B, Ekman U.","Front Aging Neurosci. 2018 May 22;10:144. doi: 10.3389/fnagi.2018.00144. eCollection 2018.","Front Aging Neurosci.  2018","PubMed","citation","PMID:29881341 | PMCID:PMC5972201","pubmed","29881341","create date:2018/06/09 | first author:Wallert J",
"A systematic approach for identifying shared mechanisms in epilepsy and its comorbidities.","/pubmed/29873705","Hoyt CT, Domingo-Fernández D, Balzer N, Güldenpfennig A, Hofmann-Apitius M.","Database (Oxford). 2018 Jan 1;2018. doi: 10.1093/database/bay050.","Database (Oxford).  2018","PubMed","citation","PMID:29873705 | PMCID:PMC6007221","pubmed","29873705","create date:2018/06/07 | first author:Hoyt CT",
"Integrating spatial-anatomical regularization and structure sparsity into SVM: Improving interpretation of Alzheimer's disease classification.","/pubmed/29802968","Sun Z, Qiao Y, Lelieveldt BPF, Staring M; Alzheimer's Disease NeuroImaging Initiative..","Neuroimage. 2018 Sep;178:445-460. doi: 10.1016/j.neuroimage.2018.05.051. Epub 2018 May 23.","Neuroimage.  2018","PubMed","citation","PMID:29802968","pubmed","29802968","create date:2018/05/29 | first author:Sun Z",
"Gaussian Discriminant Analysis for Optimal Delineation of Mild Cognitive Impairment in Alzheimer's Disease.","/pubmed/29793369","Fang C, Li C, Cabrerizo M, Barreto A, Andrian J, Rishe N, Loewenstein D, Duara R, Adjouadi M.","Int J Neural Syst. 2018 Oct;28(8):1850017. doi: 10.1142/S012906571850017X. Epub 2018 Apr 12.","Int J Neural Syst.  2018","PubMed","citation","PMID:29793369","pubmed","29793369","create date:2018/05/26 | first author:Fang C",
"Analyzing big data in social media: Text and network analyses of an eating disorder forum.","/pubmed/29746710","Moessner M, Feldhege J, Wolf M, Bauer S.","Int J Eat Disord. 2018 Jul;51(7):656-667. doi: 10.1002/eat.22878. Epub 2018 May 10.","Int J Eat Disord.  2018","PubMed","citation","PMID:29746710","pubmed","29746710","create date:2018/05/11 | first author:Moessner M",
"Investigating predictors of cognitive decline using machine learning.","/pubmed/29718387","Casanova R, Saldana S, Lutz MW, Plassman BL, Kuchibhatla M, Hayden KM.","J Gerontol B Psychol Sci Soc Sci. 2018 Apr 27. doi: 10.1093/geronb/gby054. [Epub ahead of print]","J Gerontol B Psychol Sci Soc Sci.  2018","PubMed","citation","PMID:29718387","pubmed","29718387","create date:2018/05/03 | first author:Casanova R",
"Brain properties predict proximity to symptom onset in sporadic Alzheimer's disease.","/pubmed/29688388","Vogel JW, Vachon-Presseau E, Pichet Binette A, Tam A, Orban P, La Joie R, Savard M, Picard C, Poirier J, Bellec P, Breitner JCS, Villeneuve S; Alzheimer’s Disease Neuroimaging Initiative* and the PREVENT-AD Research Group..","Brain. 2018 Jun 1;141(6):1871-1883. doi: 10.1093/brain/awy093.","Brain.  2018","PubMed","citation","PMID:29688388 | PMCID:PMC5972641","pubmed","29688388","create date:2018/04/25 | first author:Vogel JW",
"Characteristics of Mild Cognitive Impairment Using the Thai Version of the Consortium to Establish a Registry for Alzheimer's Disease Tests: A Multivariate and Machine Learning Study.","/pubmed/29617684","Tunvirachaisakul C, Supasitthumrong T, Tangwongchai S, Hemrunroj S, Chuchuen P, Tawankanjanachot I, Likitchareon Y, Phanthumchinda K, Sriswasdi S, Maes M.","Dement Geriatr Cogn Disord. 2018;45(1-2):38-48. doi: 10.1159/000487232. Epub 2018 Apr 4.","Dement Geriatr Cogn Disord.  2018","PubMed","citation","PMID:29617684","pubmed","29617684","create date:2018/04/05 | first author:Tunvirachaisakul C",
"Separating Symptomatic Alzheimer's Disease from Depression based on Structural MRI.","/pubmed/29614658","Klöppel S, Kotschi M, Peter J, Egger K, Hausner L, Frölich L, Förster A, Heimbach B, Normann C, Vach W, Urbach H, Abdulkadir A; Alzheimer’s Disease Neuroimaging Initiative..","J Alzheimers Dis. 2018;63(1):353-363. doi: 10.3233/JAD-170964.","J Alzheimers Dis.  2018","PubMed","citation","PMID:29614658 | PMCID:PMC5900555","pubmed","29614658","create date:2018/04/05 | first author:Klöppel S",
"[NEUROPSYCHIATRY AND COMPUTATIONAL MEDICINE].","/pubmed/29582949","Arzy S.","Harefuah. 2018 Mar;157(3):175-177. Review. Hebrew. ","Harefuah.  2018","PubMed","citation","PMID:29582949","pubmed","29582949","create date:2018/03/28 | first author:Arzy S",
"An ensemble learning system for a 4-way classification of Alzheimer's disease and mild cognitive impairment.","/pubmed/29578038","Yao D, Calhoun VD, Fu Z, Du Y, Sui J.","J Neurosci Methods. 2018 May 15;302:75-81. doi: 10.1016/j.jneumeth.2018.03.008. Epub 2018 Mar 22.","J Neurosci Methods.  2018","PubMed","citation","PMID:29578038","pubmed","29578038","create date:2018/03/27 | first author:Yao D",
"Multi-Modality Cascaded Convolutional Neural Networks for Alzheimer's Disease Diagnosis.","/pubmed/29572601","Liu M, Cheng D, Wang K, Wang Y; Alzheimer’s Disease Neuroimaging Initiative..","Neuroinformatics. 2018 Oct;16(3-4):295-308. doi: 10.1007/s12021-018-9370-4.","Neuroinformatics.  2018","PubMed","citation","PMID:29572601","pubmed","29572601","create date:2018/03/25 | first author:Liu M",
"Comparison of feature representations in MRI-based MCI-to-AD conversion prediction.","/pubmed/29530541","Gómez-Sancho M, Tohka J, Gómez-Verdejo V; Alzheimer's Disease Neuroimaging Initiative..","Magn Reson Imaging. 2018 Jul;50:84-95. doi: 10.1016/j.mri.2018.03.003. Epub 2018 Mar 10.","Magn Reson Imaging.  2018","PubMed","citation","PMID:29530541","pubmed","29530541","create date:2018/03/14 | first author:Gómez-Sancho M",
"Deficit schizophrenia is a discrete diagnostic category defined by neuro-immune and neurocognitive features: results of supervised machine learning.","/pubmed/29527624","Kanchanatawan B, Sriswasdi S, Thika S, Sirivichayakul S, Carvalho AF, Geffard M, Kubera M, Maes M.","Metab Brain Dis. 2018 Aug;33(4):1053-1067. doi: 10.1007/s11011-018-0208-4. Epub 2018 Mar 11.","Metab Brain Dis.  2018","PubMed","citation","PMID:29527624","pubmed","29527624","create date:2018/03/13 | first author:Kanchanatawan B",
"Evaluation of non-negative matrix factorization of grey matter in age prediction.","/pubmed/29518572","Varikuti DP, Genon S, Sotiras A, Schwender H, Hoffstaedter F, Patil KR, Jockwitz C, Caspers S, Moebus S, Amunts K, Davatzikos C, Eickhoff SB.","Neuroimage. 2018 Jun;173:394-410. doi: 10.1016/j.neuroimage.2018.03.007. Epub 2018 Mar 6.","Neuroimage.  2018","PubMed","citation","PMID:29518572 | PMCID:PMC5911196","pubmed","29518572","create date:2018/03/09 | first author:Varikuti DP",
"Machine Learning-based Individual Assessment of Cortical Atrophy Pattern in Alzheimer's Disease Spectrum: Development of the Classifier and Longitudinal Evaluation.","/pubmed/29515131","Lee JS, Kim C, Shin JH, Cho H, Shin DS, Kim N, Kim HJ, Kim Y, Lockhart SN, Na DL, Seo SW, Seong JK.","Sci Rep. 2018 Mar 7;8(1):4161. doi: 10.1038/s41598-018-22277-x.","Sci Rep.  2018","PubMed","citation","PMID:29515131 | PMCID:PMC5841386","pubmed","29515131","create date:2018/03/09 | first author:Lee JS",
"Randomised controlled trial of simvastatin treatment for autism in young children with neurofibromatosis type 1 (SANTA).","/pubmed/29484149","Stivaros S, Garg S, Tziraki M, Cai Y, Thomas O, Mellor J, Morris AA, Jim C, Szumanska-Ryt K, Parkes LM, Haroon HA, Montaldi D, Webb N, Keane J, Castellanos FX, Silva AJ, Huson S, Williams S, Gareth Evans D, Emsley R, Green J; SANTA Consortium..","Mol Autism. 2018 Feb 22;9:12. doi: 10.1186/s13229-018-0190-z. eCollection 2018.","Mol Autism.  2018","PubMed","citation","PMID:29484149 | PMCID:PMC5824534","pubmed","29484149","create date:2018/02/28 | first author:Stivaros S",
"Joint associations of β-amyloidosis and cortical thickness with cognition.","/pubmed/29471214","Knopman DS, Lundt ES, Therneau TM, Vemuri P, Lowe VJ, Kantarci K, Gunter JL, Senjem ML, Mielke MM, Machulda MM, Roberts RO, Boeve BF, Jones DT, Petersen RC, Jack CR Jr.","Neurobiol Aging. 2018 May;65:121-131. doi: 10.1016/j.neurobiolaging.2018.01.017. Epub 2018 Feb 2.","Neurobiol Aging.  2018","PubMed","citation","PMID:29471214 | PMCID:PMC5871603","pubmed","29471214","create date:2018/02/23 | first author:Knopman DS",
"A shot taxonomy in the era of tracking data in professional tennis.","/pubmed/29419342","Kovalchik S, Reid M.","J Sports Sci. 2018 Sep;36(18):2096-2104. doi: 10.1080/02640414.2018.1438094. Epub 2018 Feb 8.","J Sports Sci.  2018","PubMed","citation","PMID:29419342","pubmed","29419342","create date:2018/02/09 | first author:Kovalchik S",
"Ensemble support vector machine classification of dementia using structural MRI and mini-mental state examination.","/pubmed/29378218","Sørensen L, Nielsen M; Alzheimer's Disease Neuroimaging Initiative..","J Neurosci Methods. 2018 May 15;302:66-74. doi: 10.1016/j.jneumeth.2018.01.003. Epub 2018 Feb 3.","J Neurosci Methods.  2018","PubMed","citation","PMID:29378218","pubmed","29378218","create date:2018/01/30 | first author:Sørensen L",
"Data-driven identification of endophenotypes of Alzheimer's disease progression: implications for clinical trials and therapeutic interventions.","/pubmed/29370871","Geifman N, Kennedy RE, Schneider LS, Buchan I, Brinton RD.","Alzheimers Res Ther. 2018 Jan 15;10(1):4. doi: 10.1186/s13195-017-0332-0.","Alzheimers Res Ther.  2018","PubMed","citation","PMID:29370871 | PMCID:PMC6389228","pubmed","29370871","create date:2018/01/27 | first author:Geifman N",
"Brain and blood metabolite signatures of pathology and progression in Alzheimer disease: A targeted metabolomics study.","/pubmed/29370177","Varma VR, Oommen AM, Varma S, Casanova R, An Y, Andrews RM, O'Brien R, Pletnikova O, Troncoso JC, Toledo J, Baillie R, Arnold M, Kastenmueller G, Nho K, Doraiswamy PM, Saykin AJ, Kaddurah-Daouk R, Legido-Quigley C, Thambisetty M.","PLoS Med. 2018 Jan 25;15(1):e1002482. doi: 10.1371/journal.pmed.1002482. eCollection 2018 Jan.","PLoS Med.  2018","PubMed","citation","PMID:29370177 | PMCID:PMC5784884","pubmed","29370177","create date:2018/01/26 | first author:Varma VR",
"Alzheimer's disease diagnosis based on the Hippocampal Unified Multi-Atlas Network (HUMAN) algorithm.","/pubmed/29357893","Amoroso N, Rocca M, Bellotti R, Fanizzi A, Monaco A, Tangaro S; Alzheimer’s Disease Neuroimaging Initiative..","Biomed Eng Online. 2018 Jan 22;17(1):6. doi: 10.1186/s12938-018-0439-y.","Biomed Eng Online.  2018","PubMed","citation","PMID:29357893 | PMCID:PMC5778685","pubmed","29357893","create date:2018/01/24 | first author:Amoroso N",
"A Clinically-Translatable Machine Learning Algorithm for the Prediction of Alzheimer's Disease Conversion in Individuals with Mild and Premild Cognitive Impairment.","/pubmed/29355115","Grassi M, Perna G, Caldirola D, Schruers K, Duara R, Loewenstein DA.","J Alzheimers Dis. 2018;61(4):1555-1573. doi: 10.3233/JAD-170547.","J Alzheimers Dis.  2018","PubMed","citation","PMID:29355115 | PMCID:PMC6326743","pubmed","29355115","create date:2018/01/23 | first author:Grassi M",
"Use of multimodality imaging and artificial intelligence for diagnosis and prognosis of early stages of Alzheimer's disease.","/pubmed/29352978","Liu X, Chen K, Wu T, Weidman D, Lure F, Li J.","Transl Res. 2018 Apr;194:56-67. doi: 10.1016/j.trsl.2018.01.001. Epub 2018 Jan 10. Review.","Transl Res.  2018","PubMed","citation","PMID:29352978 | PMCID:PMC5875456","pubmed","29352978","create date:2018/01/22 | first author:Liu X",
"A wrapped multi-label classifier for the automatic diagnosis and prognosis of Alzheimer's disease.","/pubmed/29330017","Salvatore C, Castiglioni I.","J Neurosci Methods. 2018 May 15;302:58-65. doi: 10.1016/j.jneumeth.2017.12.016. Epub 2018 Jan 9.","J Neurosci Methods.  2018","PubMed","citation","PMID:29330017","pubmed","29330017","create date:2018/01/14 | first author:Salvatore C",
"Machine-learning neuroimaging challenge for automated diagnosis of mild cognitive impairment: Lessons learnt.","/pubmed/29305238","Castiglioni I, Salvatore C, Ramírez J, Górriz JM.","J Neurosci Methods. 2018 May 15;302:10-13. doi: 10.1016/j.jneumeth.2017.12.019. Epub 2018 Jan 2. No abstract available. ","J Neurosci Methods.  2018","PubMed","citation","PMID:29305238","pubmed","29305238","create date:2018/01/07 | first author:Castiglioni I",
"A Deep Learning Approach to Neuroanatomical Characterisation of Alzheimer's Disease.","/pubmed/29295334","Ambastha AK, Leong TY; Alzheimer's Disease Neuroimaging Initiative..","Stud Health Technol Inform. 2017;245:1249.","Stud Health Technol Inform.  2017","PubMed","citation","PMID:29295334","pubmed","29295334","create date:2018/01/04 | first author:Ambastha AK",
"An OMOP CDM-Based Relational Database of Clinical Research Eligibility Criteria.","/pubmed/29295240","Si Y, Weng C.","Stud Health Technol Inform. 2017;245:950-954.","Stud Health Technol Inform.  2017","PubMed","citation","PMID:29295240 | PMCID:PMC5893219","pubmed","29295240","create date:2018/01/04 | first author:Si Y",
"Deep learning reveals Alzheimer's disease onset in MCI subjects: Results from an international challenge.","/pubmed/29287745","Amoroso N, Diacono D, Fanizzi A, La Rocca M, Monaco A, Lombardi A, Guaragnella C, Bellotti R, Tangaro S; Alzheimer's Disease Neuroimaging Initiative..","J Neurosci Methods. 2018 May 15;302:3-9. doi: 10.1016/j.jneumeth.2017.12.011. Epub 2017 Dec 26.","J Neurosci Methods.  2018","PubMed","citation","PMID:29287745","pubmed","29287745","create date:2017/12/31 | first author:Amoroso N",
"Random forest feature selection, fusion and ensemble strategy: Combining multiple morphological MRI measures to discriminate among healhy elderly, MCI, cMCI and alzheimer's disease patients: From the alzheimer's disease neuroimaging initiative (ADNI) database.","/pubmed/29269320","Dimitriadis SI, Liparas D, Tsolaki MN; Alzheimer's Disease Neuroimaging Initiative..","J Neurosci Methods. 2018 May 15;302:14-23. doi: 10.1016/j.jneumeth.2017.12.010. Epub 2017 Dec 18.","J Neurosci Methods.  2018","PubMed","citation","PMID:29269320","pubmed","29269320","create date:2017/12/23 | first author:Dimitriadis SI",
"Ensemble of random forests One vs. Rest classifiers for MCI and AD prediction using ANOVA cortical and subcortical feature selection and partial least squares.","/pubmed/29242123","Ramírez J, Górriz JM, Ortiz A, Martínez-Murcia FJ, Segovia F, Salas-Gonzalez D, Castillo-Barnes D, Illán IA, Puntonet CG; Alzheimer's Disease Neuroimaging Initiative..","J Neurosci Methods. 2018 May 15;302:47-57. doi: 10.1016/j.jneumeth.2017.12.005. Epub 2017 Dec 11.","J Neurosci Methods.  2018","PubMed","citation","PMID:29242123","pubmed","29242123","create date:2017/12/16 | first author:Ramírez J",
"Prediction of cognitive and motor development in preterm children using exhaustive feature selection and cross-validation of near-term white matter microstructure.","/pubmed/29234600","Schadl K, Vassar R, Cahill-Rowley K, Yeom KW, Stevenson DK, Rose J.","Neuroimage Clin. 2017 Nov 29;17:667-679. doi: 10.1016/j.nicl.2017.11.023. eCollection 2018.","Neuroimage Clin.  2018","PubMed","citation","PMID:29234600 | PMCID:PMC5722472","pubmed","29234600","create date:2017/12/14 | first author:Schadl K",
"Selecting the most relevant brain regions to discriminate Alzheimer's disease patients from healthy controls using multiple kernel learning: A comparison across functional and structural imaging modalities and atlases.","/pubmed/29234599","Rondina JM, Ferreira LK, de Souza Duran FL, Kubo R, Ono CR, Leite CC, Smid J, Nitrini R, Buchpiguel CA, Busatto GF.","Neuroimage Clin. 2017 Nov 9;17:628-641. doi: 10.1016/j.nicl.2017.10.026. eCollection 2018.","Neuroimage Clin.  2018","PubMed","citation","PMID:29234599 | PMCID:PMC5716956","pubmed","29234599","create date:2017/12/14 | first author:Rondina JM",
"Big Data Analytical Approaches to the NACC Dataset: Aiding Preclinical Trial Enrichment.","/pubmed/29227306","Lin M, Gong P, Yang T, Ye J, Albin RL, Dodge HH.","Alzheimer Dis Assoc Disord. 2018 Jan-Mar;32(1):18-27. doi: 10.1097/WAD.0000000000000228.","Alzheimer Dis Assoc Disord.  2018","PubMed","citation","PMID:29227306 | PMCID:PMC5854492","pubmed","29227306","create date:2017/12/12 | first author:Lin M",
"Genotype-phenotype association study via new multi-task learning model.","/pubmed/29218896","Huo Z, Shen D, Huang H.","Pac Symp Biocomput. 2018;23:353-364.","Pac Symp Biocomput.  2018","PubMed","citation","PMID:29218896 | PMCID:PMC5890010","pubmed","29218896","create date:2017/12/09 | first author:Huo Z",
"Machine Learning Classification Combining Multiple Features of A Hyper-Network of fMRI Data in Alzheimer's Disease.","/pubmed/29209156","Guo H, Zhang F, Chen J, Xu Y, Xiang J.","Front Neurosci. 2017 Nov 21;11:615. doi: 10.3389/fnins.2017.00615. eCollection 2017.","Front Neurosci.  2017","PubMed","citation","PMID:29209156 | PMCID:PMC5702364","pubmed","29209156","create date:2017/12/07 | first author:Guo H",
"Looking for Alzheimer's Disease morphometric signatures using machine learning techniques.","/pubmed/29174020","Donnelly-Kehoe PA, Pascariello GO, Gómez JC; Alzheimers Disease Neuroimaging Initiative..","J Neurosci Methods. 2018 May 15;302:24-34. doi: 10.1016/j.jneumeth.2017.11.013. Epub 2017 Nov 22.","J Neurosci Methods.  2018","PubMed","citation","PMID:29174020","pubmed","29174020","create date:2017/11/28 | first author:Donnelly-Kehoe PA",
"A Speech Recognition-based Solution for the Automatic Detection of Mild Cognitive Impairment from Spontaneous Speech.","/pubmed/29165085","Toth L, Hoffmann I, Gosztolya G, Vincze V, Szatloczki G, Banreti Z, Pakaski M, Kalman J.","Curr Alzheimer Res. 2018;15(2):130-138. doi: 10.2174/1567205014666171121114930.","Curr Alzheimer Res.  2018","PubMed","citation","PMID:29165085 | PMCID:PMC5815089","pubmed","29165085","create date:2017/11/23 | first author:Toth L",
"Easy Screening for Mild Alzheimer's Disease and Mild Cognitive Impairment from Elderly Speech.","/pubmed/29165082","Kato S, Homma A, Sakuma T.","Curr Alzheimer Res. 2018;15(2):104-110. doi: 10.2174/1567205014666171120144343.","Curr Alzheimer Res.  2018","PubMed","citation","PMID:29165082","pubmed","29165082","create date:2017/11/23 | first author:Kato S",
"Personalized long-term prediction of cognitive function: Using sequential assessments to improve model performance.","/pubmed/29129622","Chi CL, Zeng W, Oh W, Borson S, Lenskaia T, Shen X, Tonellato PJ.","J Biomed Inform. 2017 Dec;76:78-86. doi: 10.1016/j.jbi.2017.11.002. Epub 2017 Nov 10.","J Biomed Inform.  2017","PubMed","citation","PMID:29129622","pubmed","29129622","create date:2017/11/14 | first author:Chi CL",
"Ensemble based on static classifier selection for automated diagnosis of Mild Cognitive Impairment.","/pubmed/29104000","Nanni L, Lumini A, Zaffonato N.","J Neurosci Methods. 2018 May 15;302:42-46. doi: 10.1016/j.jneumeth.2017.11.002. Epub 2017 Nov 2.","J Neurosci Methods.  2018","PubMed","citation","PMID:29104000","pubmed","29104000","create date:2017/11/07 | first author:Nanni L",
"Resting State fMRI Functional Connectivity-Based Classification Using a Convolutional Neural Network Architecture.","/pubmed/29089883","Meszlényi RJ, Buza K, Vidnyánszky Z.","Front Neuroinform. 2017 Oct 17;11:61. doi: 10.3389/fninf.2017.00061. eCollection 2017.","Front Neuroinform.  2017","PubMed","citation","PMID:29089883 | PMCID:PMC5651030","pubmed","29089883","create date:2017/11/02 | first author:Meszlényi RJ",
"Combining Structural Magnetic Resonance Imaging and Visuospatial Tests to Classify Mild Cognitive Impairment.","/pubmed/29086695","Fasano F, Mitolo M, Gardini S, Venneri A, Caffarra P, Pazzaglia F.","Curr Alzheimer Res. 2018;15(3):237-246. doi: 10.2174/1567205014666171030112339.","Curr Alzheimer Res.  2018","PubMed","citation","PMID:29086695","pubmed","29086695","create date:2017/11/01 | first author:Fasano F",
"Classifying MCI Subtypes in Community-Dwelling Elderly Using Cross-Sectional and Longitudinal MRI-Based Biomarkers.","/pubmed/29085292","Guan H, Liu T, Jiang J, Tao D, Zhang J, Niu H, Zhu W, Wang Y, Cheng J, Kochan NA, Brodaty H, Sachdev P, Wen W.","Front Aging Neurosci. 2017 Sep 26;9:309. doi: 10.3389/fnagi.2017.00309. eCollection 2017.","Front Aging Neurosci.  2017","PubMed","citation","PMID:29085292 | PMCID:PMC5649145","pubmed","29085292","create date:2017/11/01 | first author:Guan H",
"Comparing clinician descriptions of frailty and geriatric syndromes using electronic health records: a retrospective cohort study.","/pubmed/29070036","Anzaldi LJ, Davison A, Boyd CM, Leff B, Kharrazi H.","BMC Geriatr. 2017 Oct 25;17(1):248. doi: 10.1186/s12877-017-0645-7.","BMC Geriatr.  2017","PubMed","citation","PMID:29070036 | PMCID:PMC5657074","pubmed","29070036","create date:2017/10/27 | first author:Anzaldi LJ",
"11C-PIB PET image analysis for Alzheimer's diagnosis using weighted voting ensembles.","/pubmed/29060753","Wenjun Wu, Venugopalan J, Wang MD.","Conf Proc IEEE Eng Med Biol Soc. 2017 Jul;2017:3914-3917. doi: 10.1109/EMBC.2017.8037712.","Conf Proc IEEE Eng Med Biol Soc.  2017","PubMed","citation","PMID:29060753","pubmed","29060753","create date:2017/10/25 | first author:Wenjun Wu",
"Random Forest Algorithm for the Classification of Neuroimaging Data in Alzheimer's Disease: A Systematic Review.","/pubmed/29056906","Sarica A, Cerasa A, Quattrone A.","Front Aging Neurosci. 2017 Oct 6;9:329. doi: 10.3389/fnagi.2017.00329. eCollection 2017. Review.","Front Aging Neurosci.  2017","PubMed","citation","PMID:29056906 | PMCID:PMC5635046","pubmed","29056906","create date:2017/10/24 | first author:Sarica A",
