PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	EY	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
B	Maria Novoa-del-Toro, Elva; Gabriel Acosta-Mesa, Hector; Fernandez-Ruiz, Juan; Cruz-Ramirez, Nicandro				Fernandez-Ruiz, Juan/B-6154-2012	Fernandez-Ruiz, Juan/0000-0002-4038-0904	Arabnia, HR; Deligiannidis, L; Tran, QN		Applied Machine Learning to Identify Alzheimer's Disease Through the Analysis of Magnetic Resonance Imaging								2015 INTERNATIONAL CONFERENCE ON COMPUTATIONAL SCIENCE AND COMPUTATIONAL INTELLIGENCE (CSCI)								577	582		10.1109/CSCI.2015.143					2015	2015						International Conference on Computational Science and Computational Intelligence (CSCI)International Conference on Computational Science and Computational Intelligence (CSCI)	DEC 07-09, 2015DEC 07-09, 2015	Amer Council on Sci & EducAmer Council on Sci & Educ	Las Vegas, NVLas Vegas, NV	0	0	0	0	0	0					978-1-4673-9795-7	WOS:000380405100105		
B	Kebets, V.; Richiardi, J.; van Assche, M.; Goldstein, R.; van der Meulen, M.; Vuilleumier, P.; Van de Ville, D.; Assal, F.			IEEE		Kebets, Valeria/0000-0003-1707-7437			Predicting pure amnestic mild cognitive impairment conversion to Alzheimer's disease using joint modeling of imaging and clinical data								2015 INTERNATIONAL WORKSHOP ON PATTERN RECOGNITION IN NEUROIMAGING (PRNI) 2015								85	88		10.1109/PRNI.2015.23					2015	2015						2015 International Workshop on Pattern Recognition in NeuroImaging PRNI 20152015 International Workshop on Pattern Recognition in NeuroImaging PRNI 2015	JUN 10-12, 2015JUN 10-12, 2015	Stanford Neurosci Inst; Stanford BioX; Int Neuroinformat Coordinatin Facility; Univ Calif Berkeley, Brain Imaging Ctr; Max Planck Inst Intelligent SystStanford Neurosci Inst; Stanford BioX; Int Neuroinformat Coordinatin Facility; Univ Calif Berkeley, Brain Imaging Ctr; Max Planck Inst Intelligent Syst	Stanford, CAStanford, CA	1	0	0	0	0	1					978-1-4673-7145-2	WOS:000380445400022		
S	Nath, Shikhamoni; Marchang, Ningrinla; Taggu, Amar			IEEE					Mitigating SSDF Attack using K-Medoids Clustering in Cognitive Radio Networks								2015 IEEE 11TH INTERNATIONAL CONFERENCE ON WIRELESS AND MOBILE COMPUTING, NETWORKING AND COMMUNICATIONS (WIMOB)		IEEE International Conference on Wireless and Mobile Computing Networking and Communications-WiMOB						275	282							2015	2015						11th IEEE International Conference on Wireless and Mobile Computing, Networking and Communications (WiMob)11th IEEE International Conference on Wireless and Mobile Computing, Networking and Communications (WiMob)	OCT 19-21, 2015OCT 19-21, 2015	IEEEIEEE	Abu Dhabi, U ARAB EMIRATESAbu Dhabi, U ARAB EMIRATES	1	1	0	0	0	2			2160-4886		978-1-4673-7701-0	WOS:000379167000040		
B	Zhang, Zhao; Zhang, Kaiqing; Gao, Feifei; Zhang, Shun			IEEE					Spectrum Prediction and Channel Selection for Sensing-based Spectrum Sharing Scheme Using Online Learning Techniques								2015 IEEE 26TH ANNUAL INTERNATIONAL SYMPOSIUM ON PERSONAL, INDOOR, AND MOBILE RADIO COMMUNICATIONS (PIMRC)								355	359							2015	2015						26th IEEE Annual International Symposium on Personal, Indoor, and Mobile Radio Communications (PIMRC)26th IEEE Annual International Symposium on Personal, Indoor, and Mobile Radio Communications (PIMRC)	AUG 30-SEP 02, 2015AUG 30-SEP 02, 2015	IEEEIEEE	Hong Kong, PEOPLES R CHINAHong Kong, PEOPLES R CHINA	2	0	0	0	0	2					978-1-4673-6782-0	WOS:000377900900066		
S	Minhas, Sidra; Khanum, Aasia; Riaz, Farhan; Alvi, Atif; Khan, Shoab A.		Alzheimer's Dis Neuroimaging Initi				Jackowski, K; Burduk, R; Walkowiak, K; Wozniak, M; Yin, H		Early Alzheimer's Disease Prediction in Machine Learning Setup: Empirical Analysis with Missing Value Computation								INTELLIGENT DATA ENGINEERING AND AUTOMATED LEARNING - IDEAL 2015		Lecture Notes in Computer Science		9375				424	432		10.1007/978-3-319-24834-9_49					2015	2015						16th International Conference on Intelligent Data Engineering and Automated Learning (IDEAL)16th International Conference on Intelligent Data Engineering and Automated Learning (IDEAL)	OCT 14-16, 2015OCT 14-16, 2015		Wroclaw, POLANDWroclaw, POLAND	3	0	0	2	0	3			0302-9743		978-3-319-24834-9; 978-3-319-24833-2	WOS:000374793000049		
S	Shakeri, Mahsa; Lombaert, Herve; Kadoury, Samuel						Bhatia, KK; Lombaert, H		Classification of Alzheimer's Disease Using Discriminant Manifolds of Hippocampus Shapes								MACHINE LEARNING MEETS MEDICAL IMAGING		Lecture Notes in Computer Science		9487				65	73		10.1007/978-3-319-27929-9_7					2015	2015						1st International Workshop on Medical Learning Meets Medical Imaging (MLMMI)1st International Workshop on Medical Learning Meets Medical Imaging (MLMMI)	JUL 11, 2015JUL 11, 2015	Microsoft Res; Inria Joint Ctr; Imperial Coll LondonMicrosoft Res; Inria Joint Ctr; Imperial Coll London	Lille, FRANCELille, FRANCE	1	0	0	0	0	1			0302-9743		978-3-319-27929-9; 978-3-319-27928-2	WOS:000376401400007		
J	Maestu, Fernando; Pena, Jose-Maria; Garces, Pilar; Gonzalez, Santiago; Bajo, Ricardo; Bagic, Anto; Cuesta, Pablo; Funke, Michael; Makela, Jyrki P.; Menasalvas, Ernestina; Nakamura, Akinori; Parkkonen, Lauri; Lopez, Maria E.; del Pozo, Francisco; Sudre, Gustavo; Zamrini, Edward; Pekkonen, Eero; Henson, Richard N.; Becker, James T.		Magnetoencephalography Int		Maestu, Fernando/E-3213-2012; Parkkonen, Lauri/G-6755-2012; Lopez, Maria Eugenia/E-9311-2016	Maestu, Fernando/0000-0002-3195-0071; Parkkonen, Lauri/0000-0002-0130-0801; Lopez, Maria Eugenia/0000-0002-3928-2629; Cuesta Prieto, Pablo/0000-0002-8459-3354; Funke, Michael/0000-0002-7888-1800; menasalvas, ernestina/0000-0002-5615-6798; Henson, Richard/0000-0002-0712-2639			A multicenter study of the early detection of synaptic dysfunction in Mild Cognitive Impairment using Magnetoencephalography-derived functional connectivity								NEUROIMAGE-CLINICAL				9				103	109		10.1016/j.nicl.2015.07.011					2015	2015										19	0	0	14	0	19			2213-1582			WOS:000373188400013	26448910	
S	Diciotti, Stefano; Ciulli, Stefano; Ginestroni, Andrea; Salvadori, Emilia; Poggesi, Anna; Pantoni, Leonardo; Inzitari, Domenico; Mascalchi, Mario; Toschi, Nicola			IEEE	Toschi, Nicola/J-2555-2012; Salvadori, Emilia/B-1115-2013; Diciotti, Stefano/C-4167-2008	Toschi, Nicola/0000-0003-1929-5833; Salvadori, Emilia/0000-0003-0404-0053; Diciotti, Stefano/0000-0001-8778-7819			Multimodal MRI classification in vascular mild cognitive impairment								2015 37TH ANNUAL INTERNATIONAL CONFERENCE OF THE IEEE ENGINEERING IN MEDICINE AND BIOLOGY SOCIETY (EMBC)		IEEE Engineering in Medicine and Biology Society Conference Proceedings						4278	4281							2015	2015						37th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC)37th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC)	AUG 25-29, 2015AUG 25-29, 2015		Milan, ITALYMilan, ITALY	2	0	0	1	0	2			1557-170X		978-1-4244-9270-1	WOS:000371717204140	26737240	
S	Kato, Shohei; Homma, Akira; Sakuma, Takuto; Nakamura, Munehiro			IEEE					Detection of Mild Alzheimer's Disease and Mild Cognitive Impairment from Elderly Speech: binary discrimination using logistic regression								2015 37TH ANNUAL INTERNATIONAL CONFERENCE OF THE IEEE ENGINEERING IN MEDICINE AND BIOLOGY SOCIETY (EMBC)		IEEE Engineering in Medicine and Biology Society Conference Proceedings						5569	5572							2015	2015						37th Annual International Conference of the IEEE-Engineering-in-Medicine-and-Biology-Society (EMBC)37th Annual International Conference of the IEEE-Engineering-in-Medicine-and-Biology-Society (EMBC)	AUG 25-29, 2015AUG 25-29, 2015	IEEE Engn Med & Biol SocIEEE Engn Med & Biol Soc	Milan, ITALYMilan, ITALY	5	0	0	3	0	5			1557-170X		978-1-4244-9270-1	WOS:000371717205207	26737554	
S	Hazar, Muhammed Abdurrahman; Odabasioglu, Niyazi; Ensari, Tolga; Kavurucu, Yusuf						Arik, S; Huang, T; Lai, WK; Liu, Q		Evaluation of Machine Learning Algorithms for Automatic Modulation Recognition								NEURAL INFORMATION PROCESSING, PT I		Lecture Notes in Computer Science		9489				208	215		10.1007/978-3-319-26532-2_23					2015	2015						22nd International Conference on Neural Information Processing (ICONIP)22nd International Conference on Neural Information Processing (ICONIP)	NOV 09-12, 2015NOV 09-12, 2015		Istanbul, TURKEYIstanbul, TURKEY	1	0	0	0	0	1			0302-9743		978-3-319-26532-2; 978-3-319-26531-5	WOS:000371579500023		
J	Zorzi, Michele; Zanella, Andrea; Testolin, Alberto; De Grazia, Michele De Filippo; Zorzi, Marco				Testolin, Alberto/Q-9649-2018; Zorzi, Marco/B-7863-2008	Testolin, Alberto/0000-0001-7062-4861; Zorzi, Marco/0000-0002-4651-6390; De Filippo De Grazia, Michele/0000-0003-3682-8582			Cognition-Based Networks: A New Perspective on Network Optimization Using Learning and Distributed Intelligence								IEEE ACCESS				3				1512	1530		10.1109/ACCESS.2015.2471178					2015	2015										27	1	0	0	0	28			2169-3536			WOS:000371388200115		
S	Koolagudi, Shashidhar. G.; Sridhar, Shriyak; Elango, Narendran; Kumar, Karthik; Afroz, Fathima			IEEE		Afroz, Fathima/0000-0002-3294-0748			Advertisement Detection in Commercial Radio Channels								2015 IEEE 10TH INTERNATIONAL CONFERENCE ON INDUSTRIAL AND INFORMATION SYSTEMS (ICIIS)		International Conference on Industrial and Information Systems						272	277							2015	2015						10th IEEE International Conference on Industrial and Information Systems (ICIIS)10th IEEE International Conference on Industrial and Information Systems (ICIIS)	DEC 17-20, 2015DEC 17-20, 2015	Univ Peradeniya, Fac Engn, Dept Elect & Elect Engn; Sri Lanka Telecom Mobitel; Univ Peradeniya, Int Res Ctr; LTL Holdings Pvt Ltd; Lanka Elect Co LtdUniv Peradeniya, Fac Engn, Dept Elect & Elect Engn; Sri Lanka Telecom Mobitel; Univ Peradeniya, Int Res Ctr; LTL Holdings Pvt Ltd; Lanka Elect Co Ltd	SRI LANKASRI LANKA	0	0	0	0	0	0			2164-7011		978-1-4799-1876-8	WOS:000412187900048		
S	Proellochs, Nicolas; Feuerriegel, Stefan; Neumann, Dirk						Bui, TX; Sprague, RH		Enhancing Sentiment Analysis of Financial News by Detecting Negation Scopes								2015 48TH HAWAII INTERNATIONAL CONFERENCE ON SYSTEM SCIENCES (HICSS)		Proceedings of the Annual Hawaii International Conference on System Sciences						959	968		10.1109/HICSS.2015.119					2015	2015						48th Annual Hawaii International Conference on System Sciences (HICSS)48th Annual Hawaii International Conference on System Sciences (HICSS)	JAN 05-08, 2015JAN 05-08, 2015	IEEE Comp Soc; Univ Hawaii, Shidler Coll Business; Univ Hawaii, Dept EE; Univ Hawaii, Informat Sci Program; ONR; AFOSR; Natl Sci Fdn; IEEE Syst Sci & Cybernet Soc; ACM; SIAM; IEEE Hawaii Sect; IEEE Control Syst Soc; IEEE Grp Informat Theory; IEEE Grp Automat Control; ARO; Reg Med Program Hawaii; Univ Hawaii, Coll Business Adm; NasdaqIEEE Comp Soc; Univ Hawaii, Shidler Coll Business; Univ Hawaii, Dept EE; Univ Hawaii, Informat Sci Program; ONR; AFOSR; Natl Sci Fdn; IEEE Syst Sci & Cybernet Soc; ACM; SIAM; IEEE Hawaii Sect; IEEE Control Syst Soc; IEEE Grp Informat Theory; IEEE Grp Automat Control; ARO; Reg Med Program Hawaii; Univ Hawaii, Coll Business Adm; Nasdaq	Kauai, HIKauai, HI	7	0	0	0	0	7			1060-3425		978-1-4799-7367-5	WOS:000366264101008		
J	Zhu, K.; Lou, Z.; Zhou, J.; Ballester, N.; Kong, N.; Parikh, P.								Predicting 30-day Hospital Readmission with Publicly Available Administrative Database A Conditional Logistic Regression Modeling Approach								METHODS OF INFORMATION IN MEDICINE				54	6			560	567		10.3414/ME14-02-0017					2015	2015										7	0	0	2	0	7			0026-1270			WOS:000366043500013	26548400	
S	Liu, Jiamou; Wei, Ziheng					Liu, Jiamou/0000-0002-0824-0899	Leucker, M; Rueda, C; Valencia, FD		A Game of Attribute Decomposition for Software Architecture Design								THEORETICAL ASPECTS OF COMPUTING - ICTAC 2015		Lecture Notes in Computer Science		9399				445	463		10.1007/978-3-319-25150-9_26					2015	2015						12th International Colloquium on Theoretical Aspects of Computing (ICTAC)12th International Colloquium on Theoretical Aspects of Computing (ICTAC)	OCT 29-31, 2015OCT 29-31, 2015	Microsoft Res Ctr; Inria; CNRS; CLEI; Colombian Computat SocMicrosoft Res Ctr; Inria; CNRS; CLEI; Colombian Computat Soc	Univ Javeriana Cali, Cali, COLOMBIAUniv Javeriana Cali, Cali, COLOMBIA	0	0	0	0	0	0			0302-9743	1611-3349	978-3-319-25150-9; 978-3-319-25149-3	WOS:000366212700026		
J	Zheng, Weihao; Yao, Zhijun; Hu, Bin; Gao, Xiang; Cai, Hanshu; Moore, Philip		Alzheimer's Dis Neuroimaging			Zheng, Weihao/0000-0003-2996-5909			Novel Cortical Thickness Pattern for Accurate Detection of Alzheimer's Disease								JOURNAL OF ALZHEIMERS DISEASE				48	4			995	1008		10.3233/JAD-150311					2015	2015										11	3	0	7	0	14			1387-2877	1875-8908		WOS:000363867300012	26444768	
S	Philipp, Patrick; Maleshkova, Maria; Rettinger, Achim; Katic, Darko						Cimiano, P; Frasincar, F; Houben, GJ; Schwabe, D		A Semantic Framework for Sequential Decision Making								ENGINEERING THE WEB IN THE BIG DATA ERA		Lecture Notes in Computer Science		9114				392	409		10.1007/978-3-319-19890-3_25					2015	2015						15th International Conference on Web Engineering (ICWE)15th International Conference on Web Engineering (ICWE)	JUN 23-25, 2015JUN 23-25, 2015	Erasmus Studio; Erasmus Res Inst Management; Erasmus Sch Econ; Erasmus Univ Rotterdam; Google; Int Soc Web Engn e V; SIKSErasmus Studio; Erasmus Res Inst Management; Erasmus Sch Econ; Erasmus Univ Rotterdam; Google; Int Soc Web Engn e V; SIKS	Rotterdam, NETHERLANDSRotterdam, NETHERLANDS	0	0	0	0	0	0			0302-9743	1611-3349	978-3-319-19890-3; 978-3-319-19889-7	WOS:000364535600028		
S	Alarcon, Rosa; Saffie, Rodrigo; Bravo, Nikolas; Cabello, Javiera						Cimiano, P; Frasincar, F; Houben, GJ; Schwabe, D		REST Web Service Description for Graph-Based Service Discovery								ENGINEERING THE WEB IN THE BIG DATA ERA		Lecture Notes in Computer Science		9114				461	478		10.1007/978-3-319-19890-3_30					2015	2015						15th International Conference on Web Engineering (ICWE)15th International Conference on Web Engineering (ICWE)	JUN 23-25, 2015JUN 23-25, 2015	Erasmus Studio; Erasmus Res Inst Management; Erasmus Sch Econ; Erasmus Univ Rotterdam; Google; Int Soc Web Engn e V; SIKSErasmus Studio; Erasmus Res Inst Management; Erasmus Sch Econ; Erasmus Univ Rotterdam; Google; Int Soc Web Engn e V; SIKS	Rotterdam, NETHERLANDSRotterdam, NETHERLANDS	1	0	0	0	0	1			0302-9743		978-3-319-19890-3; 978-3-319-19889-7	WOS:000364535600033		
S	Roy, Rishiraj Saha; Padmakumar, Aishwarya; Jeganathan, Guna Prasaad; Kumaraguru, Ponnurangam						Gelbukh, A		Automated Linguistic Personalization of Targeted Marketing Messages Mining User-Generated Text on Social Media								COMPUTATIONAL LINGUISTICS AND INTELLIGENT TEXT PROCESSING (CICLING 2015), PT II		Lecture Notes in Computer Science		9042				203	224		10.1007/978-3-319-18117-2_16					2015	2015						16th Annual Conference on Intelligent Text Processing and Computational Linguistics (CICLing)16th Annual Conference on Intelligent Text Processing and Computational Linguistics (CICLing)	APR 14-20, 2015APR 14-20, 2015		Nile Univ, Cairo, EGYPTNile Univ, Cairo, EGYPT	0	0	0	0	0	0			0302-9743		978-3-319-18117-2; 978-3-319-18116-5	WOS:000362442800016		
J	Kloeppel, Stefan; Peter, Jessica; Ludl, Anna; Pilatus, Anne; Maier, Sabrina; Mader, Irina; Heimbach, Bernhard; Frings, Lars; Egger, Karl; Dukart, Juergen; Schroeter, Matthias L.; Perneczky, Robert; Haeussermann, Peter; Vach, Werner; Urbach, Horst; Teipel, Stefan; Huell, Michael; Abdulkadir, Ahmed		Alzheimer's Dis Neuroimaging Initi		Vach, Werner/F-2512-2011; Peter, Jessica/A-6033-2017; Preda, Adrian/K-8889-2013	Vach, Werner/0000-0003-1865-8399; Peter, Jessica/0000-0002-0817-8431; Perneczky, Robert/0000-0003-1981-7435; Abdulkadir, Ahmed/0000-0003-4679-8081; Frings, Lars/0000-0001-9377-8935; Dukart, Juergen/0000-0003-0492-5644; Preda, Adrian/0000-0003-3373-2438			Applying Automated MR-Based Diagnostic Methods to the Memory Clinic: A Prospective Study								JOURNAL OF ALZHEIMERS DISEASE				47	4			939	954		10.3233/JAD-150334					2015	2015										18	0	0	13	0	18			1387-2877	1875-8908		WOS:000360931300013	26401773	
J	Gutman, Boris A.; Wang, Yalin; Yanovsky, Igor; Hua, Xue; Toga, Arthur W.; Jack, Clifford R., Jr.; Weiner, Michael W.; Thompson, Paul M.		Alzheimers Dis Neuroimaging		Jack, Clifford/F-2508-2010; Thompson, Paul/C-4194-2018	Jack, Clifford/0000-0001-7916-622X; Thompson, Paul/0000-0002-4720-8867; Gutman, Boris/0000-0001-5388-897X			Empowering imaging biomarkers of Alzheimer's disease								NEUROBIOLOGY OF AGING				36				S69	S80		10.1016/j.neurobiolaging.2014.05.038				1	JAN 2015	2015										12	0	0	6	0	12			0197-4580	1558-1497		WOS:000360012000009	25260848	
B	Braines, Dave; Ibbotson, John; Shaw, Darren; Preece, Alun			IEEE					Building a "living database" for human-machine intelligence analysis								2015 18TH INTERNATIONAL CONFERENCE ON INFORMATION FUSION (FUSION)								1977	1984							2015	2015						18th International Conference on Information Fusion (Fusion)18th International Conference on Information Fusion (Fusion)	JUL 06-09, 2015JUL 06-09, 2015		Washington, DCWashington, DC	1	0	0	0	0	1					978-0-9824-4386-6	WOS:000389523300258		
J	Beltrachini, Leandro; De Marco, Matteo; Taylor, Zeike A.; Lotjonen, Jyrki; Frangi, Alejandro F.; Venneri, Annalena					Taylor, Zeike/0000-0002-0718-1663; Beltrachini, Leandro/0000-0003-4602-1416			Integration of Cognitive Tests and Resting State fMRI for the Individual Identification of Mild Cognitive Impairment								CURRENT ALZHEIMER RESEARCH				12	6			592	603		10.2174/156720501206150716120332					2015	2015										7	0	1	6	0	8			1567-2050	1875-5828		WOS:000358302800011	26238814	
J	Tangaro, Sabina; Amoroso, Nicola; Brescia, Massimo; Cavuoti, Stefano; Chincarini, Andrea; Errico, Rosangela; Inglese, Paolo; Longo, Giuseppe; Maglietta, Rosalia; Tateo, Andrea; Riccio, Giuseppe; Bellotti, Roberto				Cavuoti, Stefano/B-4650-2017; Inglese, Paolo/D-8931-2014; Chincarini, Andrea/J-9998-2018	Cavuoti, Stefano/0000-0002-3787-4196; Inglese, Paolo/0000-0001-6179-9643; Riccio, Giuseppe/0000-0001-7020-1172; Bellotti, Roberto/0000-0003-3198-2708; Amoroso, Nicola/0000-0003-0211-0783; Maglietta, Rosalia/0000-0001-8580-4806; LONGO, Giuseppe/0000-0002-9182-8414; Tangaro, Sabina/0000-0002-1372-3916; Tateo, Andrea/0000-0001-9570-0277; Chincarini, Andrea/0000-0003-4094-9942; Brescia, Massimo/0000-0001-9506-5680			Feature Selection Based on Machine Learning in MRIs for Hippocampal Segmentation								COMPUTATIONAL AND MATHEMATICAL METHODS IN MEDICINE										814104	10.1155/2015/814104					2015	2015										8	0	0	0	0	8			1748-670X	1748-6718		WOS:000356301500001	26089977	
J	Roch, Marie A.; Stinner-Sloan, Johanna; Baumann-Pickering, Simone; Wiggins, Sean M.								Compensating for the effects of site and equipment variation on delphinid species identification from their echolocation clicks								JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA				137	1			22	29		10.1121/1.4904507					JAN 2015	2015										7	0	0	7	0	7			0001-4966	1520-8524		WOS:000348369000023	25618035	
J	Berisha, Visar; Wang, Shuai; LaCross, Amy; Liss, Julie					LaCross, Amy/0000-0001-7053-2377			Tracking Discourse Complexity Preceding Alzheimer's Disease Diagnosis: A Case Study Comparing the Press Conferences of Presidents Ronald Reagan and George Herbert Walker Bush								JOURNAL OF ALZHEIMERS DISEASE				45	3			959	963		10.3233/JAD-142763					2015	2015										23	0	0	10	0	23			1387-2877	1875-8908		WOS:000351608700024	25633673	
J	Khodabakhsh, A; Demiroglu, C					Khodabakhsh, Ali/0000-0002-2873-4140			Analysis of speech-based measures for detecting and monitoring Alzheimer's disease.								Methods in molecular biology (Clifton, N.J.)				1246				159	73		10.1007/978-1-4939-1985-7_11					2015	2015										0	0	0	0	0	0				1940-6029		MEDLINE:25417086	25417086	
J	Sabuncu, Mert R.; Konukoglu, Ender		Alzheimer's Dis Neuroimaging			Sabuncu, Mert/0000-0002-7068-719X			Clinical Prediction from Structural Brain MRI Scans: A Large-Scale Empirical Study								NEUROINFORMATICS				13	1			31	46		10.1007/s12021-014-9238-1					JAN 2015	2015										40	1	0	23	0	40			1539-2791	1559-0089		WOS:000348422200004	25048627	
J	Gironi, Maira; Borgiani, Bruno; Farina, Elisabetta; Mariani, Enrica; Cursano, Cristina; Alberoni, Margherita; Nemni, Raffaello; Comi, Giancarlo; Buscema, Massimo; Furlan, Roberto; Grossi, Enzo					Buscema, Paolo Massimo/0000-0003-4356-0510			A Global Immune Deficit in Alzheimer's Disease and Mild Cognitive Impairment Disclosed by a Novel Data Mining Process								JOURNAL OF ALZHEIMERS DISEASE				43	4			1199	1213		10.3233/JAD-141116					2015	2015										8	0	0	5	0	8			1387-2877	1875-8908		WOS:000346857400010	25201785	
J	Moradi, Elaheh; Pepe, Antonietta; Gaser, Christian; Huttunen, Heikki; Tohka, Jussi		Alzheimer's Dis Neuroimaging Initi		Gaser, Christian/F-5103-2010; Kowall, Neil/G-6364-2012; Tohka, Jussi/D-2385-2013; Preda, Adrian/K-8889-2013	Gaser, Christian/0000-0002-9940-099X; Kowall, Neil/0000-0002-6624-0213; Tohka, Jussi/0000-0002-1048-5860; Huttunen, Heikki/0000-0002-6571-0797; Preda, Adrian/0000-0003-3373-2438			Machine learning framework for early MRI-based Alzheimer's conversion prediction in MCI subjects								NEUROIMAGE				104				398	412		10.1016/j.neuroimage.2014.10.002					JAN 1 2015	2015										121	3	0	63	0	123			1053-8119	1095-9572		WOS:000345393800038	25312773	
B	Khan, Aunsia; Usman, Muhammad						Fred, A; Dietz, J; Aveiro, D; Liu, K; Filipe, J		Early Diagnosis of Alzheimer's Disease using Machine Learning Techniques A Review Paper								2015 7TH INTERNATIONAL JOINT CONFERENCE ON KNOWLEDGE DISCOVERY, KNOWLEDGE ENGINEERING AND KNOWLEDGE MANAGEMENT (IC3K)								380	387							2015	2015						7th International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management (IC3K)7th International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management (IC3K)	NOV 12-14, 2015NOV 12-14, 2015	Inst Syst & Technologies Informat Control & Commun; Assoc Advancement Artificial Intelligence; ACM Special Interest Grp Management Informat Syst; ACM Special Interest Grp Artificial Intelligence; Assoc Italiana Intelligenza Artificiale; Portuguese Assoc Artificial Intelligence; European Res Consortium Informat Math; IEEE Comp Soc Tech Comm Business Informat & SystInst Syst & Technologies Informat Control & Commun; Assoc Advancement Artificial Intelligence; ACM Special Interest Grp Management Informat Syst; ACM Special Interest Grp Artificial Intelligence; Assoc Italiana Intelligenza Artificiale; Portuguese Assoc Artificial Intelligence; European Res Consortium Informat Math; IEEE Comp Soc Tech Comm Business Informat & Syst	Lisbon, PORTUGALLisbon, PORTUGAL	3	0	0	0	0	3					978-989-758-164-9	WOS:000411797400043		
J	de Oliveira, Ailton Andrade; Carthery-Goulart, Maria Teresa; de Magalhaes Oliveira Junior, Pedro Paulo; Carrettiero, Daniel Carneiro; Sato, Joao Ricardo		Alzheimer's Dis Neuroimaging Initi		Carrettiero, Daniel/F-4949-2012	Carrettiero, Daniel/0000-0002-6546-2949			Defining Multivariate Normative Rules for Healthy Aging using Neuroimaging and Machine Learning: An Application to Alzheimer's Disease								JOURNAL OF ALZHEIMERS DISEASE				43	1			201	212		10.3233/JAD-140189					2015	2015										7	0	0	2	0	7			1387-2877	1875-8908		WOS:000344525900020	25079801	
J	Williams, Rebecca M.; Ray, Laura E.; Lever, James H.; Burzynski, Amy M.								Crevasse Detection in Ice Sheets Using Ground Penetrating Radar and Machine Learning								IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING				7	12	SI		4836	4848		10.1109/JSTARS.2014.2332872					DEC 2014	2014										5	0	0	1	0	5			1939-1404	2151-1535		WOS:000348372000020		
J	Pineda-Pardo, Jose Angel; Bruna, Ricardo; Woolrich, Mark; Marcos, Alberto; Nobre, Anna C.; Maestu, Fernando; Vidaurre, Diego				Maestu, Fernando/E-3213-2012; Bruna, Ricardo/F-8066-2016	Maestu, Fernando/0000-0002-3195-0071; Bruna, Ricardo/0000-0003-1007-900X; Vidaurre, Diego/0000-0002-9650-2229			Guiding functional connectivity estimation by structural connectivity in MEG: an application to discrimination of conditions of mild cognitive impairment								NEUROIMAGE				101				765	777		10.1016/j.neuroimage.2014.08.002					NOV 1 2014	2014										17	0	0	15	0	17			1053-8119	1095-9572		WOS:000344931800068	25111472	
J	Prasad, Gautam; Joshi, Anand A.; Feng, Albert; Toga, Arthur W.; Thompson, Paul M.; Terzopoulos, Demetri				Thompson, Paul/C-4194-2018	Thompson, Paul/0000-0002-4720-8867; Joshi, Anand/0000-0002-9582-3848			Skull-stripping with machine learning deformable organisms								JOURNAL OF NEUROSCIENCE METHODS				236				114	124		10.1016/j.jneumeth.2014.07.023					OCT 30 2014	2014										4	0	0	1	0	4			0165-0270	1872-678X		WOS:000343390700014	25124851	
J	Zhang, Ziming; Huang, Heng; Shen, Dinggang		Alzheimers Dis Neuroimaging Initia						Integrative analysis of multi-dimensional imaging genomics data for Alzheimer's disease prediction								FRONTIERS IN AGING NEUROSCIENCE				6						260	10.3389/fnagi.2014.00260					OCT 17 2014	2014										11	0	0	6	0	11			1663-4365			WOS:000347873900001	25368574	
J	Bielza, Concha; Larranaga, Pedro				Larranaga, Pedro/F-9293-2013; Bielza, Concha/F-9277-2013	Larranaga, Pedro/0000-0003-0652-9872; Bielza, Concha/0000-0001-7109-2668			Bayesian networks in neuroscience: a survey								FRONTIERS IN COMPUTATIONAL NEUROSCIENCE				8						131	10.3389/fncom.2014.00131					OCT 16 2014	2014										8	0	0	4	0	8			1662-5188			WOS:000346790300001	25360109	
J	Li, Muwei; Qin, Yuanyuan; Gao, Fei; Zhu, Wenzhen; He, Xiaohai				qin, yuanyuan/G-4351-2010	qin, yuanyuan/0000-0002-0673-3200			Discriminative analysis of multivariate features from structural MRI and diffusion tensor images								MAGNETIC RESONANCE IMAGING				32	8			1043	1051		10.1016/j.mri.2014.05.008					OCT 2014	2014										14	0	0	8	1	15			0730-725X	1873-5894		WOS:000341068300010	24970026	
J	Huang, Xin-Lin; Wang, Gang; Hu, Fei; Kumar, Sunil; Wu, Jun								Multimedia over cognitive radio networks: Towards a cross-layer scheduling under Bayesian traffic learning								COMPUTER COMMUNICATIONS				51				48	59		10.1016/j.comcom.2014.06.004					SEP 15 2014	2014										9	0	0	0	0	9			0140-3664	1873-703X		WOS:000340986400004		
